"rank","player_name.x","nation","position.x","current_club.x","age","dob","matches_played","starts","minutes","X90s","goals_12","assists_13","goals_assists_14","goals_PK_15","penalty_goals","penalty_attempts","yellow_cards","red_cards","goals_20","assists_21","GA_22","goals_PK_23","goals_assists_minus_PK","matches","season2","goals_against","goals_against_per_90","shots_on_target_against","saves","save_percentage_31","wins","draws","losses","clean_sheets","CS.","penalties_against","penalty_saves","penalty_misses","save_percentage_40","transfermarkt_id.x","transfermarkt_url","fbref_url","player_name.x.x","transfermarkt_id.y","first_tier_debut_date","first_tier_debut_age","first_tier_debut_age.1","first_tier_debut_competition","second_tier_debut_date","second_tier_debut_age","second_tier_debut_age.1","second_tier_debut_competition","debut_age_transfermarket","explanation.x","player_name.y","status","transfermarkt_id.x.x","player_slug","home_name","dob_age.x","current","place_birth.x","height.x","citizenship.x","position.x.x","foot.x","agent","current_club","joined","contract_expires","outfitter","injury_count_total","days_missed_total","games_missed_total","retired","retirement_date","shirt_number","injury_seasons","explanation.y","transfermarkt_id.y.y","player_name.x.x.x","name_home_country","dob_age.y","place_birth.y","height.y","citizenship.y","position.y","foot.y","debut_season","debut_age","first_club","debut_year","explanation","nantional_team","player_name.y.y","matches_national","minutes_national","goals_national","seasons_national","total_matches_club","total_minutes_club","total_goals_club","seasons_club","clubs_club","player_name","deceased","death_date","death_age","total_matches_total","total_minutes_total","total_goals_total","position_clean","position_simple","age_current","retirement_date_clean","retirement_age","career_length"
11,"Sammy Ameobi","eng ENG","FW,MF","Newcastle Utd",18,1992-05-01,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92381,"https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381","https://fbref.com/en/players/acd61628/Sammy-Ameobi","Sammy Ameobi",92381,"15/05/2011","19 years 14 days","19","Premier League","2/3/2013","20","20","Championship",19,"first scrap players","Sammy Ameobi","Success",92381,"spieler","Sammy Ameobi","1/5/1992",33,"Newcastle upon Tyne","1,90 m","England  Nigeria","Attack - Left Winger","left",NA,"Middlesbrough","1/7/2022","-",NA,2,159,24,"Yes","1/7/2022",NA,2,"first scrap players transfer",92381,"Sammy Ameobi",NA,"1-May-92",NA,192,"England eng","FW-MF (AM-WM)","Left","2010-2011","18 years","Newcastle Utd",2010,"first scrap players fbref","No",NA,NA,NA,NA,NA,284,17342,24,11,5,"Sammy Ameobi","No","Not found",NA,284,17342,24,"Attack - Left Winger","Attack",33,2022-07-01,30,11
12,"Shola Ameobi","ng NGA","FW","Newcastle Utd",28,1981-10-12,28,21,1752,19.5,6,3,9,4,2,2,2,0,0.31,0.15,0.46,0.21,0.36,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3276,"https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276","https://fbref.com/en/players/e79a368b/Shola-Ameobi","Shola Ameobi",3276,"9/9/2000","18 years 10 months 28 days","18","Premier League","29/03/2008","26","26","Championship",18,"first scrap players","Shola Ameobi","Success",3276,"spieler","Shola Ameobi","12/10/1981",44,"Zaria","1,91 m","Nigeria  England","Attack - Centre-Forward","right",NA,"Notts County","1/7/2018","-",NA,5,97,19,"Yes","1/7/2018",NA,2,"first scrap players transfer",3276,"Shola Ameobi",NA,"12-Oct-81",NA,191,"Nigeria ng  Other: England","FW","Both","2000-2001","18 years","Newcastle Utd",2000,"first scrap players fbref","Yes","Shola Ameobi",4,136,0,1,431,23166,76,18,6,"Shola Ameobi","No","Not found",NA,435,23302,76,"Attack - Centre-Forward","Attack",44,2018-07-01,36,18
13,"Anderson","br BRA","MF","Manchester Utd",22,1988-04-13,18,14,1182,13.1,1,2,3,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31645,"https://www.transfermarkt.com/anderson/profil/spieler/31645","https://fbref.com/en/players/ffcbeb74/Anderson","Anderson",31645,"23/10/2004","16 years 06 months 10 days","16","Campeonato Brasileiro Série A","22/10/2018","30 years 06 months 09 days","30","1.Lig",16,"players corrected","Anderson","Success",31645,"spieler","Anderson","13/04/1988",37,"Porto Alegre","1,76 m","Brazil","Midfield - Central Midfield","left",NA,"Adana Demirspor","20/09/2019","-",NA,8,429,75,"Yes","20/09/2019",NA,6,"players corrected transfer

",31645,"Anderson",NA,"13-Apr-88",NA,176,"Brazil","MF","Left","2005-2006","17 years","Porto",2005,"third scrap","No",NA,NA,NA,NA,NA,236,13687,11,13,5,"Anderson","No","Not found",NA,236,13687,11,"Midfield - Central Midfield","Midfield",37,2019-09-20,31,15
14,"Keith Andrews","ie IRL","MF","Blackburn",29,1980-09-13,5,2,229,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8035,"https://www.transfermarkt.com/keith-andrews/profil/spieler/8035","https://fbref.com/en/players/5bca867f/Keith-Andrews","Keith Andrews",8035,"29/11/2003","23 years 02 months 16 days","23","Premier League","18/03/2000","19","19","",19,"first scrap players","Keith Andrews","Success",8035,"spieler","Keith Andrews","13/09/1980",45,"Dublin","1,83 m","Ireland  England","Midfield - Central Midfield","right",NA,"Bolton","4/8/2015","-",NA,1,14,3,"Yes","4/8/2015",NA,1,"first scrap players transfer",8035,"Keith Andrews",NA,"13-Sep-80",NA,183,"Republic of Ireland","MF (DM)",NA,"2001-2002","20 years","Wolves",2001,"first scrap players fbref","Yes","Keith Andrews",20,1790,1,3,348,25810,42,14,10,"Keith Andrews","No","Not found",NA,368,27600,43,"Midfield - Central Midfield","Midfield",45,2015-08-04,34,15
15,"Nicolas Anelka","fr FRA","FW","Chelsea",31,1979-03-14,32,27,2356,26.2,6,4,10,6,0,0,0,0,0.23,0.15,0.38,0.23,0.38,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3226,"https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226","https://fbref.com/en/players/931ed5e9/Nicolas-Anelka","Nicolas Anelka",3226,"7/2/1996","16 years 10 months 24 days","16","Ligue 1","No second tier career","No second tier career","No second tier career","No second tier career",16,"first scrap players","Nicolas Anelka","Success",3226,"spieler","Nicolas Anelka","14/03/1979",46,"Versailles","1,86 m","France  Martinique","Attack - Centre-Forward","right",NA,"Mumbai City","1/1/2016","-",NA,13,294,53,"Yes","1/1/2016",NA,8,"first scrap players transfer",3226,"Nicolas Anelka",NA,"14-Mar-79",NA,186,"France","FW","Right","1995-1996","16 years","Paris S-G",1995,"first scrap players fbref","Yes","Nicolas Anelka",30,1972,8,4,564,41720,177,20,11,"Nicolas Anelka","No","Not found",NA,594,43692,185,"Attack - Centre-Forward","Attack",46,2016-01-01,36,20
16,"Marcos Angeleri","ar ARG","DF","Sunderland",27,1983-04-07,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27448,"https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448","https://fbref.com/en/players/f1c9c320/Marcos-Angeleri","Marcos Angeleri",27448,"15/02/2003","19 years 10 months 08 days","19","Torneo Final","No second tier career","No second tier career","No second tier career","No second tier career",19,"first scrap players","Marcos Angeleri","Success",27448,"spieler","Marcos Angeleri","7/4/1983",42,"Treinta de Agosto","1,83 m","Argentina  Italy","Defender - Right-Back","right",NA,"Argentinos Jrs.","1/7/2020","-","Nike",7,543,90,"Yes","1/7/2020",NA,5,"first scrap players transfer",27448,"Marcos Angeleri",NA,"7-Apr-83",NA,182,"Argentina","DF (CB-FB, right)","Right","2010-2011","27 years","Sunderland",2010,"first scrap players fbref","No",NA,NA,NA,NA,NA,160,13156,2,12,5,"Marcos Angeleri","No","Not found",NA,160,13156,2,"Defender - Right-Back","Defender",42,2020-07-01,37,18
17,"Victor Anichebe","ng NGA","FW","Everton",22,1988-04-23,16,8,769,8.5,0,0,0,0,0,0,3,1,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39532,"https://www.transfermarkt.com/victor-anichebe/profil/spieler/39532","https://fbref.com/en/players/4aed5c19/Victor-Anichebe","Victor Anichebe",39532,"22/04/2006","17 years 11 months 30 days","17","Premier League","9/7/2017","29","29","China League One",17,"first scrap players","Victor Anichebe","Success",39532,"spieler","Victor Anichebe","23/04/1988",37,"Lagos","1,90 m","Nigeria  England","Attack - Centre-Forward","right",NA,"BJ Enterprises","1/7/2018","-",NA,9,512,106,"Yes","1/7/2018",NA,6,"first scrap players transfer",39532,"Victor Anichebe",NA,"23-Apr-88",NA,185,"Nigeria","FW","Right","2005-2006","17 years","Everton",2005,"first scrap players fbref","No",NA,NA,NA,NA,NA,224,10479,34,12,3,"Victor Anichebe","No","Not found",NA,224,10479,34,"Attack - Centre-Forward","Attack",37,2018-07-01,30,13
18,"Andrey Arshavin","ru RUS","FW,MF","Arsenal",29,1981-05-29,37,25,2187,24.3,6,11,17,5,1,1,1,0,0.25,0.45,0.7,0.21,0.66,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15378,"https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378","https://fbref.com/en/players/8fd1ea1f/Andrey-Arshavin","Andrey Arshavin",15378,"13/08/2000","19 years 02 months 15 days","19","Premier Liga","No second tier career","No second tier career","No second tier career","No second tier career",19,"first scrap players","Andrey Arshavin","Success",15378,"spieler","Andrey Arshavin","29/05/1981",44,"Leningrad","1,72 m","Russia","Attack - Left Winger","both",NA,"Kairat Almaty","1/1/2019","-",NA,6,116,23,"Yes","1/1/2019",NA,4,"first scrap players transfer",15378,"Andrey Arshavin",NA,"29-May-81",NA,172,"Russia","FW-MF (AM-WM, left)",NA,"2001","19 years","Zenit",NA,"first scrap players fbref","Yes","Andrey Arshavin",49,4298,13,4,454,31686,97,20,3,"Andrey Arshavin","No","Not found",NA,503,35984,110,"Attack - Left Winger","Attack",44,2019-01-01,37,18
19,"Mikel Arteta","es ESP","MF","Everton",28,1982-03-26,29,29,2405,26.7,3,5,8,3,0,1,1,1,0.11,0.19,0.3,0.11,0.3,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7451,"https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451","https://fbref.com/en/players/d934d1e6/Mikel-Arteta","Mikel Arteta",7451,"17/02/2001","18 years 10 months 22 days","18","Ligue 1","No second tier career","No second tier career","No second tier career","No second tier career",18,"first scrap players","Mikel Arteta","Success",7451,"spieler","Mikel Arteta","26/03/1982",43,"Donostia-San Sebastián","1,77 m","Spain","Midfield - Central Midfield","right",NA,"Arsenal","1/7/2016","-","Puma",14,701,168,"Yes","1/7/2016",NA,7,"first scrap players transfer",7451,"Mikel Arteta",NA,"26-Mar-82",NA,177,"Spain","MF","Right","2000-2001","18 years","Paris S-G",2000,"first scrap players fbref","No",NA,NA,NA,NA,NA,434,34391,61,16,5,"Mikel Arteta","No","Not found",NA,434,34391,61,"Midfield - Central Midfield","Midfield",43,2016-07-01,34,16
20,"Benoît Assou-Ekotto","cm CMR","DF","Tottenham",26,1984-03-24,30,30,2569,28.5,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18310,"https://www.transfermarkt.com/benot-assou-ekotto/profil/spieler/18310","https://fbref.com/en/players/a557e6b0/Benoit-Assou-Ekotto","Benoît Assou-Ekotto",18310,"28/03/2004","20 years 04 days","20","Ligue 1","18/09/2013","29","29","Championship",20,"first scrap players","Benoît Assou-Ekotto","Success",18310,"spieler","Benoît Assou-Ekotto","24/03/1984",41,"Arras","1,78 m","Cameroon  France","Defender - Left-Back","left",NA,"FC Metz","1/7/2018","-",NA,6,521,100,"Yes","1/7/2018",NA,5,"first scrap players transfer",18310,"Benoît Assou-Ekotto",NA,"24-Mar-84",NA,178,"Cameroon cm  Other: France","DF (FB, left)","Left","2003-2004","19 years","Lens",2003,"first scrap players fbref","Yes","Benoît Assou-Ekotto",9,753,0,2,344,29319,4,14,5,"Benoît Assou-Ekotto","No","Not found",NA,353,30072,4,"Defender - Left-Back","Defender",41,2018-07-01,34,14
21,"Fábio Aurélio","br BRA","DF,MF","Liverpool",30,1979-09-24,14,7,570,6.3,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7570,"https://www.transfermarkt.com/fbio-aurlio/profil/spieler/7570","https://fbref.com/en/players/68f0ce09/Fabio-Aurelio","Fábio Aurélio",7570,"5/7/1997","17 years 09 months 11 days","17","Campeonato Brasileiro Série A","No second tier career","No second tier career","No second tier career","No second tier career",17,"first scrap players","Fábio Aurélio","Success",7570,"spieler","Fábio Aurélio","24/09/1979",46,"São Carlos","1,78 m","Brazil  Italy","Defender - Left-Back","left",NA,"Grêmio","1/1/2014","-",NA,7,342,67,"Yes","1/1/2014",NA,5,"first scrap players transfer",7570,"Fábio Aurélio",NA,"24-Sep-79",NA,173,"Brazil","DF-MF (FB-WM, left)",NA,"2000-2001","20 years","Valencia",2000,"first scrap players fbref","No",NA,NA,NA,NA,NA,227,13951,17,12,2,"Fábio Aurélio","No","Not found",NA,227,13951,17,"Defender - Left-Back","Defender",46,2014-01-01,34,17
22,"Demba Ba","sn SEN","FW","West Ham",25,1985-05-25,12,10,933,10.4,7,0,7,7,0,0,1,0,0.68,0,0.68,0.68,0.68,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40205,"https://www.transfermarkt.com/demba-ba/profil/spieler/40205","https://fbref.com/en/players/8b683d09/Demba-Ba","Demba Ba",40205,"29/07/2006","21 years 02 months 04 days","21","Jupiler Pro League","3/9/2007","22","22","2.Bundesliga",21,"first scrap players","Demba Ba","Success",40205,"spieler","Demba Ba","25/05/1985",40,"Sèvres","1,89 m","Senegal  France","Attack - Centre-Forward","right",NA,"FC Lugano","13/09/2021","-",NA,16,805,98,"Yes","13/09/2021",NA,7,"first scrap players transfer",40205,"Demba Ba",NA,"25-May-85",NA,189,"Senegal sn  Other: France","FW","Right","2006-2007","21 years","Mouscron",2006,"first scrap players fbref","Yes","Demba Ba",8,503,0,3,387,27912,168,18,10,"Demba Ba","No","Not found",NA,395,28415,168,"Attack - Centre-Forward","Attack",40,2021-09-13,36,15
