player_name.x,transfermarkt_id.x,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age.1,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age.1,second_tier_debut_competition,debut_age_transfermarket,explanation.x,player_name.y,status,transfermarkt_id.y,player_slug,home_name,dob_age.x,place_birth.x,height.x,citizenship.x,position.x,foot.x,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation.y,fbref_url,transfermarkt_id,player_name.x.x,name_home_country,dob_age.y,place_birth.y,height.y,citizenship.y,position.y,foot.y,debut_season,debut_age,first_club,debut_year,explanation,player_name.y.y,matches_national,minutes_national,goals_national,seasons_national,total_matches_club,total_minutes_club,total_goals_club,seasons_club,clubs_club,player_name,deceased,death_date,death_age,total_matches_total,total_minutes_total,total_goals_total,position_clean,position_simple,dob,age_current,retirement_date_clean,retirement_age,career_length
Sergei Kornilenko,15881,https://www.transfermarkt.com/sergey-kornilenko/profil/spieler/15881,12/6/2000,16 years 11 months 29 days,16,Vysheyshaya Liga,6/7/2014,31 years 22 days,31,1.Division,16,players corrected,Sergei Kornilenko,Success,15881,spieler,Sergey Kornilenko,14/06/1983,Vitebsk,"1,86",Belarus  Russia,Attack - Centre-Forward,left,Not found,KS Samara,1/7/2021,-,Not found,2,91,9,Yes,1/7/2021,Not found,2,"players corrected transfer

",https://fbref.com/en/players/be1797d6/Sergei-Kornilenko,15881,Sergei Kornilenko,Not found,14-Jun-83,Not found,186,Belarus,FW,Right,2003-2004,20 years,Dynamo Kyiv,2003,first scrap players fbref,Sergei Kornilenko,47,2678,10,8,285,17973,78,16,7,Sergei Kornilenko,No,Not found,NA,332,20651,88,Attack - Centre-Forward,Attack,6/14/1983,42,7/1/2021,38,22
Sotirios Kyrgiakos,9706,https://www.transfermarkt.com/sotiris-kyrgiakos/profil/spieler/9706,30/09/2001,22 years 02 months 07 days,22,Stoiximan Super League,19/09/1999,20 years 01 month 27 days,20,Football League,20,players corrected,Sotirios Kyrgiakos,Success,9706,spieler,Sotiris Kyrgiakos,23/07/1979,Trikala,"1,93",Greece,Defender - Centre-Back,right,Not found,Sydney Olympic,7/4/2014,-,Not found,6,299,20,Yes,7/4/2014,Not found,3,"players corrected transfer

",https://fbref.com/en/players/2bc82fdc/Sotirios-Kyrgiakos,9706,Sotirios Kyrgiakos,Not found,23-Jul-79,Not found,193,Greece,DF (CB),Not found,2001-2002,22 years,Panathinaikos,2001,first scrap players fbref,Sotirios Kyrgiakos,33,2783,3,4,272,23012,18,12,7,Sotirios Kyrgiakos,No,Not found,NA,305,25795,21,Defender - Centre-Back,Defender,7/23/1979,46,4/7/2014,34,14
Adrián López,44966,https://www.transfermarkt.com/adrian-lopez/profil/spieler/44966,30/09/2007,20 years 07 months 05 days,20,LaLiga,20/08/2017,30 years 05 months 26 days,30,1.Division,20,players corrected,Adrián López,Success,44966,spieler,Adrián López,25/02/1987,As Pontes,"1,84",Spain,Defender - Centre-Back,right,Not found,SD Compostela,1/7/2019,-,adidas,2,80,14,Yes,1/7/2019,Not found,2,"players corrected transfer

",https://fbref.com/en/players/70392341/Adrian-Lopez,44966,Adrián López,Not found,25-Feb-87,Not found,184,Not found,DF (CB),Right,2007-2008,20 years,La Coruña,2007,players corrected fbref,NA,NA,NA,NA,NA,47,3953,1,9,5,Adrián López,No,Not found,NA,47,3953,1,Defender - Centre-Back,Defender,2/25/1987,38,7/1/2019,32,12
Andy O'Brien,3228,https://www.transfermarkt.com/andrew-obrien/profil/spieler/3228,7/8/1999,20 years 01 month 09 days,20,Premier League,16/10/1996,17 years 03 months 17 days,17,,17,players corrected,Andy O'Brien,Success,3228,spieler,Andrew O'Brien,29/06/1979,Harrogate,"1,91",Ireland  England,Defender - Centre-Back,right,Not found,Vancouver,1/1/2015,-,Not found,1,9,2,Yes,1/1/2015,Not found,1,"players corrected transfer

",https://fbref.com/en/players/1719f6b2/Andy-OBrien,869490,Andy O'Brien,Not found,29-Jun-79,Not found,191,Republic of Ireland ie  Other: England,DF (CB),Right,1999-2000,20 years,Bradford City,1999,first scrap players fbref,Andy O'Brien,9,713,0,3,405,34182,10,16,6,Andy O'Brien,No,Not found,NA,414,34895,10,Defender - Centre-Back,Defender,6/29/1979,46,1/1/2015,35,18
Frédéric Piquionne,5683,https://www.transfermarkt.com/frederic-piquionne/profil/spieler/5683,28/07/2001,22 years 07 months 20 days,22,Ligue 1,21/12/2000,22 years 13 days,22,Ligue 2,22,players corrected,Frédéric Piquionne,Success,5683,spieler,Frédéric Piquionne,8/12/1978,Nouméa,"1,88",Martinique  France,Attack - Centre-Forward,right,Not found,Mumbai City,1/1/2016,-,Not found,0,0,0,Yes,1/1/2016,Not found,0,"players corrected transfer

",https://fbref.com/en/players/62f579c5/Frederic-Piquionne,5683,Frédéric Piquionne,Not found,8-Dec-78,Not found,188,"France fr  Other: Martinique , New Caledonia",FW,Not found,2001-2002,22 years,Rennes,2001,first scrap players fbref,NA,NA,NA,NA,NA,402,25242,83,15,10,Frédéric Piquionne,No,Not found,NA,402,25242,83,Attack - Centre-Forward,Attack,12/8/1978,47,1/1/2016,37,15
Rafael,61892,https://www.transfermarkt.com/rafael/profil/spieler/61892,17/08/2008,18 years 01 month 08 days,18,Premier League,26/09/2021,31 years 02 months 17 days,31,Campeonato Brasileiro Série B,18,players corrected,Rafael,Success,61892,spieler,Rafael,9/7/1990,Petrópolis,"1,72",Brazil  Portugal,Defender - Right-Back,right,Not found,Botafogo,1/1/2025,-,Nike,26,1158,220,Yes,1/1/2025,Not found,13,"players corrected transfer

",https://fbref.com/en/players/9a1f2e1c/Rafael,61892,Rafael,Not found,9-Jul-90,Not found,173,Brazil,"DF-MF (FB, right)",Right,2008-2009,18 years,Manchester Utd,2008,third scrap,NA,NA,NA,NA,NA,327,22627,7,17,4,Rafael,No,Not found,NA,327,22627,7,Defender - Right-Back,Defender,7/9/1990,35,1/1/2025,34,16
Abdul Razak,177321,https://www.transfermarkt.com/abdul-razak/profil/spieler/177321,5/2/2011,18 years 02 months 25 days,18,Premier League,29/10/2011,18 years 11 months 18 days,18,Championship,18,players corrected,Abdul Razak,Success,177321,spieler,Abdul Razak,11/11/1992,Bouaké,"1,79",Cote d'Ivoire,Midfield - Central Midfield,right,Not found,Without Club,1/7/2025,-,Not found,1,13,0,No,Not found,Not found,1,"players corrected transfer

",https://fbref.com/en/players/5e61927c/Abdul-Razak,177321,Abdul Razak,Not found,11-Nov-92,Not found,180,Côte d'Ivoire,MF,Not found,2010-2011,17 years,Manchester City,2010,players corrected fbref,Abdul Razak,1,89,0,2,124,7394,1,11,12,Abdul Razak,No,Not found,NA,125,7483,1,Midfield - Central Midfield,Midfield,11/11/1992,33,NA,NA,15
Jack Robinson,128909,https://www.transfermarkt.com/jack-robinson/profil/spieler/128909,9/5/2010,16 years 08 months 07 days,16,Premier League,19/02/2013,19 years 05 months 18 days,19,Championship,16,players corrected,Jack Robinson,Success,128909,spieler,Jack Robinson,1/9/1993,Warrington,"1,80",England,Defender - Centre-Back,left,Not found,Birmingham,1/9/2025,30/06/2027,Not found,5,806,136,No,Not found,6,5,"players corrected transfer

",https://fbref.com/en/players/7399c7a8/Jack-Robinson,128909,Jack Robinson,Not found,"September 1, 1993 (Age: 32-096d)","Warrington, England, United Kingdom",180,England eng,"DF (CB-FB, left)",Left,2009-2010,15 years,Liverpool,2009,players corrected fbref,NA,NA,NA,NA,NA,343,28457,11,16,8,Jack Robinson,No,Not found,NA,343,28457,11,Defender - Centre-Back,Defender,9/1/1993,32,NA,NA,16
Rodrigo,131505,https://www.transfermarkt.com/rodrigo/profil/spieler/131505,23/08/2014,23 years 05 months 17 days,23,LaLiga,No second tier career,No second tier career,No second tier career,No second tier career,23,players corrected,Rodrigo,Success,131505,spieler,Rodrigo,6/3/1991,Rio de Janeiro,"1,82",Spain  Brazil,Attack - Centre-Forward,left,Not found,Al-Rayyan,13/07/2023,30/06/2026,Nike,19,618,105,No,Not found,19,10,"players corrected transfer

",https://fbref.com/en/players/1fb1c435/Rodrigo,131505,Rodrigo,Not found,"March 6, 1991 (Age: 34-278d)","Rio de Janeiro, Brazil",180,Spain es  Other: Brazil,FW-MF,Left,2010-2011,19 years,Bolton,2010,third scrap,Rodrigo,28,1458,8,9,431,27122,122,13,4,Rodrigo,No,Not found,NA,459,28580,130,Attack - Centre-Forward,Attack,3/6/1991,34,NA,NA,11
Sandro,74590,https://www.transfermarkt.com/sandro/profil/spieler/74590,4/10/2008,19 years 06 months 19 days,19,Campeonato Brasileiro Série A,3/10/2015,26 years 06 months 18 days,26,Championship,19,players corrected,Sandro,Success,74590,spieler,Sandro,15/03/1989,Riachinho,"1,88",Brazil  Portugal,Midfield - Central Midfield,right,Not found,Harborough,2/12/2024,-,Not found,10,623,104,Yes,2/12/2024,Not found,7,"players corrected transfer

",https://fbref.com/en/players/c1c2c925/Sandro,74590,Sandro,Not found,15-Mar-89,Not found,188,Brazil,MF (DM),Right,2010-2011,21 years,Tottenham,2010,third scrap,NA,NA,NA,NA,NA,219,13307,9,12,10,Sandro,No,Not found,NA,219,13307,9,Midfield - Central Midfield,Midfield,3/15/1989,36,12/2/2024,35,16
Paulo da Silva,38800,https://www.transfermarkt.com/paulo-da-silva/profil/spieler/38800,27/02/2000,20 years 26 days,20,Torneo Final,20/09/2000,20 years 07 months 19 days,20,Serie B,20,players corrected,Paulo da Silva,Success,38800,spieler,Paulo da Silva,1/2/1980,Asunción,"1,84",Paraguay,Defender - Centre-Back,right,Not found,Atlantida SC,20/10/2024,-,Not found,1,31,6,Yes,20/10/2024,Not found,1,"players corrected transfer

",https://fbref.com/en/players/47560da8/Paulo-da-Silva,38800,Paulo da Silva,Not found,1-Feb-80,Not found,184,Paraguay,DF (CB),Right,2001-2002,21 years,Cosenza,2001,third scrap,Paulo da Silva,36,3153,1,6,587,50777,30,22,7,Paulo da Silva,No,Not found,NA,623,53930,31,Defender - Centre-Back,Defender,2/1/1980,45,10/20/2024,44,24
Alan Smith,3768,https://www.transfermarkt.com/alan-smith/profil/spieler/3768,14/11/1998,18 years 17 days,18,Premier League,8/8/2009,28 years 09 months 11 days,28,Championship,18,players corrected,Alan Smith,Success,3768,spieler,Alan Smith,28/10/1980,Rothwell,"1,78",England,Midfield - Central Midfield,right,Not found,Notts County,1/7/2018,-,Not found,2,340,57,Yes,1/7/2018,Not found,2,"players corrected transfer

",https://fbref.com/en/players/fdac06ea/Alan-Smith,101327,Alan Smith,Not found,28-Oct-80,Not found,178,England eng,FW-MF,Right,1998-1999,17 years,Leeds United,1998,first scrap players fbref,Alan Smith,4,136,0,2,526,34470,60,20,5,Alan Smith,No,Not found,NA,530,34606,60,Midfield - Central Midfield,Midfield,10/28/1980,45,7/1/2018,37,19
Alexandre Song,27394,https://www.transfermarkt.com/alex-song/profil/spieler/27394,7/8/2004,16 years 10 months 29 days,16,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,16,players corrected,Alexandre Song,Success,27394,spieler,Alex Song,9/9/1987,Douala,"1,85",Cameroon  France,Midfield - Defensive Midfield,right,Not found,AS Arta/Solar7,14/11/2023,-,Puma,9,264,40,Yes,14/11/2023,Not found,6,"players corrected transfer

",https://fbref.com/en/players/1c32281d/Alexandre-Song,27394,Alexandre Song,Not found,9-Sep-87,Not found,185,Cameroon,DF-MF (AM-CB-DM),Both,2004-2005,16 years,Bastia,2004,first scrap players fbref,Alexandre Song,18,1497,0,2,355,25543,11,16,7,Alexandre Song,No,Not found,NA,373,27040,11,Midfield - Defensive Midfield,Midfield,9/9/1987,38,11/14/2023,36,20
Matt Upson,3273,https://www.transfermarkt.com/matthew-upson/profil/spieler/3273,17/01/1998,18 years 08 months 30 days,18,Premier League,9/12/2000,21 years 07 months 21 days,21,,18,players corrected,Matt Upson,Success,3273,spieler,Matthew Upson,18/04/1979,Hartismere,"1,85",England,Defender - Centre-Back,left,Not found,MK Dons,1/7/2016,-,Not found,3,194,42,Yes,1/7/2016,Not found,3,"players corrected transfer

",https://fbref.com/en/players/1a6e6d03/Matt-Upson,3273,Matt Upson,Not found,18-Apr-79,Not found,185,England eng,DF (CB),Left,1997-1998,18 years,Arsenal,1997,first scrap players fbref,Matt Upson,7,542,1,2,396,32633,14,19,8,Matt Upson,No,Not found,NA,403,33175,15,Defender - Centre-Back,Defender,4/18/1979,46,7/1/2016,37,19
Xisco,34564,https://www.transfermarkt.com/xisco/profil/spieler/34564,16/04/2005,18 years 09 months 21 days,18,LaLiga,2/9/2006,20 years 02 months 07 days,20,Segunda División,18,players corrected,Xisco,Success,34564,spieler,Xisco,26/06/1986,Santa Ponça,"1,88",Spain,Attack - Centre-Forward,right,Not found,Atl. Baleares,29/01/2024,-,Not found,9,289,50,Yes,29/01/2024,Not found,8,"players corrected transfer

",https://fbref.com/en/players/d2790f7a/Xisco,15465,Xisco,Not found,26-Jun-86,Not found,188,Spain,FW,Right,2004-2005,18 years,La Coruña,2004,first scrap players fbref,NA,NA,NA,NA,NA,365,20558,101,18,9,Xisco,No,Not found,NA,365,20558,101,Attack - Centre-Forward,Attack,6/26/1986,39,1/29/2024,37,19
Yuri Zhirkov,16760,https://www.transfermarkt.com/yuriy-zhirkov/profil/spieler/16760,12/3/2004,20 years 06 months 21 days,20,Premier Liga,No second tier career,No second tier career,No second tier career,No second tier career,20,players corrected,Yuri Zhirkov,Success,16760,spieler,Yuriy Zhirkov,20/08/1983,Tambov,"1,80",Russia,Midfield - Left Midfield,left,Not found,Khimki,1/7/2022,-,Nike,10,645,88,Yes,1/7/2022,Not found,8,"players corrected transfer

",https://fbref.com/en/players/ed2b33cb/Yuri-Zhirkov,16760,Yuri Zhirkov,Not found,20-Aug-83,Not found,180,Russia,"DF-MF (FB-WM, left)",Left,2004,20 years,CSKA Moscow,Not found,first scrap players fbref,Yuri Zhirkov,84,6443,2,13,451,33485,32,24,6,Yuri Zhirkov,No,Not found,NA,535,39928,34,Midfield - Left Midfield,Midfield,8/20/1983,42,7/1/2022,38,18
Patrick Agyemang,13982,https://www.transfermarkt.com/patrick-agyemang/profil/spieler/13982,20/08/2011,30 years 10 months 22 days,30,Premier League,12/8/2000,19 years 10 months 14 days,19,,19,players corrected,Patrick Agyemang,Success,13982,spieler,Patrick Agyemang,29/09/1980,London,"1,85",Ghana  England,Attack - Centre-Forward,right,Not found,Cray Valley PM,25/08/2018,-,Not found,0,0,0,Yes,25/08/2018,Not found,0,"players corrected transfer

",https://fbref.com/en/players/80f1245c/Patrick-Agyemang,1089574,Patrick Agyemang,Not found,29-Sep-80,Not found,185,Ghana gh  Other: England,FW,Not found,2001-2002,20 years,Wimbledon,2001,first scrap players fbref,NA,NA,NA,NA,NA,405,20600,61,14,9,Patrick Agyemang,No,Not found,NA,405,20600,61,Attack - Centre-Forward,Attack,9/29/1980,45,8/25/2018,37,18
Bruno Andrade,169633,https://www.transfermarkt.com/bruno-andrade/profil/spieler/169633,27/08/2011,17 years 10 months 25 days,17,Premier League,20/11/2010,17 years 01 month 18 days,17,Championship,17,players corrected,Bruno Andrade,Success,169633,spieler,Bruno Andrade,2/10/1993,Viseu,"1,75",Portugal  Cape Verde,Midfield - Left Midfield,right,Not found,Bedford Town,3/1/2025,30/06/2025,Not found,0,0,0,No,Not found,23,0,"players corrected transfer

",https://fbref.com/en/players/6e87c80f/Bruno-Andrade,159570,Bruno Andrade,Not found,"October 2, 1993 (Age: 32-054d)","Viseu, Portugal",175,Not found,FW-MF (WM),Right,2010-2011,16 years,QPR,2010,first scrap players fbref,NA,NA,NA,NA,NA,319,20484,52,15,11,Bruno Andrade,No,Not found,NA,319,20484,52,Midfield - Left Midfield,Midfield,10/2/1993,32,NA,NA,15
Park Chu-young,30982,https://www.transfermarkt.com/chu-young-park/profil/spieler/30982,15/05/2005,19 years 10 months 05 days,19,"K League - First Stage ('84,'86,'95,'96,'04-'06)",2/2/2014,28 years 06 months 23 days,28,Championship,19,players corrected,Park Chu-young,Success,30982,spieler,Chu-young Park,10/7/1985,"Dong-gu, Daegu","1,82","Korea, South",Attack - Centre-Forward,right,Not found,Ulsan Hyundai,1/1/2025,-,Mizuno,3,246,30,Yes,1/1/2025,Not found,3,"players corrected transfer

",https://fbref.com/en/players/d9fa272a/Park-Chu-young,30982,Park Chu-young,Not found,10-Jul-85,Not found,182,Korea Republic,FW-MF (AM),Right,2008-2009,23 years,Monaco,2008,first scrap players fbref,Park Chu-young,35,2445,14,4,318,20595,72,16,8,Park Chu-young,No,Not found,NA,353,23040,86,Attack - Centre-Forward,Attack,7/10/1985,40,1/1/2025,39,20
Ji Dong-won,164265,https://www.transfermarkt.com/dong-won-ji/profil/spieler/164265,27/02/2010,18 years 08 months 30 days,18,K League 1,28/01/2018,26 years 08 months 00 days,26,2.Bundesliga,18,players corrected,Ji Dong-won,Success,164265,spieler,Dong-won Ji,28/05/1991,"Jeju City, Jeju","1,87","Korea, South",Attack - Centre-Forward,right,Not found,Macarthur,5/8/2025,30/06/2026,Not found,24,1078,155,No,Not found,33,10,"players corrected transfer

",https://fbref.com/en/players/7d841904/Ji-Dong-won,164265,Ji Dong-won,Not found,"May 28, 1991 (Age: 34-181d)","Jeju-si, Korea Republic",189,Korea Republic,FW-MF,Right,2011-2012,20 years,Sunderland,2011,first scrap players fbref,Ji Dong-won,45,2521,9,7,272,14148,30,16,9,Ji Dong-won,No,Not found,NA,317,16669,39,Attack - Centre-Forward,Attack,5/28/1991,34,NA,NA,16
Doni,20392,https://www.transfermarkt.com/doni/profil/spieler/20392,2/9/2001,21 years 10 months 11 days,21,Campeonato Brasileiro Série A,No second tier career,No second tier career,No second tier career,No second tier career,21,players corrected,Doni,Success,20392,spieler,Doni,22/10/1979,Jundiaí,"1,94",Brazil  Italy,Goalkeeper,right,Not found,Botafogo-SP,12/8/2013,-,Not found,3,187,23,Yes,12/8/2013,Not found,1,"players corrected transfer

",https://fbref.com/en/players/b8be3693/Doni,20392,Doni,Not found,22-Oct-79,Not found,194,Brazil,GK,Not found,2005-2006,25 years,Roma,2005,third scrap,NA,NA,NA,NA,NA,187,16465,0,7,2,Doni,No,Not found,NA,187,16465,0,Goalkeeper,Goalkeeper,10/22/1979,46,8/12/2013,33,12
