squad,fbref_url,fbref_squad_id
Metz,Not found,Not found
Arouca,Not found,Not found
CS U Craiova,Not found,Not found
B-SAD,Not found,Not found
Grasshopper,Not found,Not found
Hellas Verona,Not found,Not found
Spezia,Not found,Not found
Eibar,Not found,Not found
Levante,Not found,Not found
Girona,Not found,Not found
Cartagena,Not found,Not found
Volos NFC,Not found,Not found
Dinamo,Not found,Not found
Roda JC,Not found,Not found
PSV Eindhoven,Not found,Not found
Hannover 96,Not found,Not found
Everton,Not found,Not found
Sivasspor,Not found,Not found
Rio Ave,Not found,Not found
PaÃ§os de Ferreira,Not found,Not found
CÃ³rdoba,Not found,Not found
Racing Ferrol,Not found,Not found
Ibiza,Not found,Not found
Roma,Not found,Not found
Milan,Not found,Not found
Ajax,Not found,Not found
Stoke City,Not found,Not found
Mainz 05,Not found,Not found
Montreal Impact,Not found,Not found
Vissel Kobe,Not found,Not found
Sevilla B,Not found,Not found
AEK Athens,Not found,Not found
Cardiff City,Not found,Not found
Henan Jianye,Not found,Not found
Las Palmas,Not found,Not found
JÃ¶nkÃ¶ping,Not found,Not found
Antequera,Not found,Not found
Elche,Not found,Not found
NE Revolution,Not found,Not found
Valenciennes,Not found,Not found
Fiorentina,Not found,Not found
Santa Fe,Not found,Not found
San Lorenzo,Not found,Not found
Barracas Central,Not found,Not found
Salamanca,Not found,Not found
Real Sociedad,Not found,Not found
LAFC,Not found,Not found
Chelsea,Not found,Not found
Monaco,Not found,Not found
Genoa,Not found,Not found
Fuenlabrada,Not found,Not found
Atalanta,Not found,Not found
Lecce,Not found,Not found
Bologna,Not found,Not found
Southampton,Not found,Not found
Banfield,Not found,Not found
Reading,Not found,Not found
Wuhan Zall,Not found,Not found
Norwich City,Not found,Not found
Huesca,Not found,Not found
AlcorcÃ³n,Not found,Not found
UD LogroÃ±Ã©s,Not found,Not found
GÃ³rnik Zabrze,Not found,Not found
WisÅ‚a PÅ‚ock,Not found,Not found
Kalamata,Not found,Not found
Panathinaikos,Not found,Not found
OFI Crete,Not found,Not found
AIK Stockholm,Not found,Not found
KÃ¶ln,Not found,Not found
Dnipro,Not found,Not found
Rayo OKC,Not found,Not found
Braga,Not found,Not found
Celta Vigo,Not found,Not found
Albacete,Not found,Not found
AtlÃ©tico Mineiro,Not found,Not found
Botafogo (RJ),Not found,Not found
GrÃªmio,Not found,Not found
FenerbahÃ§e,Not found,Not found
HÃ¤cken,Not found,Not found
SÃ£o Paulo,Not found,Not found
Napoli,Not found,Not found
QPR,Not found,Not found
Hoffenheim,Not found,Not found
UANL,Not found,Not found
Audax Italiano,Not found,Not found
Nacional,Not found,Not found
Crystal Palace,Not found,Not found
BaÅŸakÅŸehir,Not found,Not found
Kayserispor,Not found,Not found
Olimpia,Not found,Not found
Marbella,Not found,Not found
Salernitana,Not found,Not found
Newcastle Utd,Not found,Not found
Estudiantesâ€“LP,Not found,Not found
DiÃ³sgyÅ‘r,Not found,Not found
Independiente,Not found,Not found
Cerro PorteÃ±o,Not found,Not found
Sagan Tosu,Not found,Not found
Flamengo,Not found,Not found
Dijon,Not found,Not found
Vitesse,Not found,Not found
Lazio,Not found,Not found
Hebei Fortune,Not found,Not found
Amiens,Not found,Not found
Lens,Not found,Not found
Esteghlal,Not found,Not found
Vasco da Gama,Not found,Not found
Univ CatÃ³lica,Not found,Not found
Feyenoord,Not found,Not found
RKC Waalwijk,Not found,Not found
Heerenveen,Not found,Not found
Ipswich Town,Not found,Not found
ADO Den Haag,Not found,Not found
Leonesa,Not found,Not found
Delhi Dynamos,Not found,Not found
Galatasaray,Not found,Not found
Racing Sant,Not found,Not found
LA Galaxy,Not found,Not found
AmÃ©rica,Not found,Not found
Villarreal B,Not found,Not found
Torino,Not found,Not found
Benevento,Not found,Not found
CD AmÃ©rica,Not found,Not found
Schalke 04,Not found,Not found
Belenenses,Not found,Not found
Fluminense,Not found,Not found
CRB,Not found,Not found
Guadalajara,Not found,Not found
Leverkusen,Not found,Not found
Morelia,Not found,Not found
CS Emelec,Not found,Not found
Birmingham City,Not found,Not found
QuerÃ©taro,Not found,Not found
Club 9 de Octubre,Not found,Not found
SD Aucas,Not found,Not found
Lorient,Not found,Not found
Frosinone,Not found,Not found
LeÃ³n,Not found,Not found
Monterrey,Not found,Not found
Alajuelense,Not found,Not found
Atl Goianiense,Not found,Not found
Leeds United,Not found,Not found
Estoril,Not found,Not found
Carpi,Not found,Not found
Chievo,Not found,Not found
Eint Frankfurt,Not found,Not found
Sparta R'dam,Not found,Not found
Eupen,Not found,Not found
Padova,Not found,Not found
PAOK,Not found,Not found
Red Star,Not found,Not found
Ionikos,Not found,Not found
NÃ¼rnberg,Not found,Not found
Sampdoria,Not found,Not found
Spartak Moscow,Not found,Not found
Al-Ahli,Not found,Not found
NY Red Bulls,Not found,Not found
AZ Alkmaar,Not found,Not found
Puebla,Not found,Not found
W Sydney,Not found,Not found
Melb Victory,Not found,Not found
Al-Riyadh SC,Not found,Not found
CastellÃ³n,Not found,Not found
Brighton,Not found,Not found
Leicester City,Not found,Not found
Pachuca,Not found,Not found
AVS Futebol,Not found,Not found
Groningen,Not found,Not found
Dinamo Zagreb,Not found,Not found
Zalaegerszeg,Not found,Not found
Lyngby,Not found,Not found
Arg Juniors,Not found,Not found
Guizhou Heng,Not found,Not found
Gladbach,Not found,Not found
Werder Bremen,Not found,Not found
Anderlecht,Not found,Not found
Trabzonspor,Not found,Not found
Al-Raed,Not found,Not found
FerencvÃ¡ros,Not found,Not found
MalmÃ¶,Not found,Not found
Halmstad,Not found,Not found
Bayern Munich,Not found,Not found
CSKA Sofia,Not found,Not found
Servette,Not found,Not found
Wolfsburg,Not found,Not found
Oviedo,Not found,Not found
Pescara,Not found,Not found
Cagliari,Not found,Not found
Ternana,Not found,Not found
Bari,Not found,Not found
Rennes,Not found,Not found
VVV-Venlo,Not found,Not found
Al-Nassr,Not found,Not found
Wydad AC,Not found,Not found
Dortmund,Not found,Not found
Seattle Sounders,Not found,Not found
Shanghai Shen,Not found,Not found
Lyn,Not found,Not found
Cesena,Not found,Not found
Changchun Yatai,Not found,Not found
Al-Hilal,Not found,Not found
Al-Wehda,Not found,Not found
Stuttgart,Not found,Not found
UNAM,Not found,Not found
Cruz Azul,Not found,Not found
AtlÃ©tico,Not found,Not found
D.C. United,Not found,Not found
O'Higgins,Not found,Not found
FC Seoul,Not found,Not found
Ulsan Hyundai,Not found,Not found
Ulsan HD,Not found,Not found
Cosenza,Not found,Not found
Toluca,Not found,Not found
Libertad,Not found,Not found
12 de Octubre,Not found,Not found
Houston Dynamo,Not found,Not found
Millonarios,Not found,Not found
Rapid BucureÈ™ti,Not found,Not found
Shakhtar,Not found,Not found
Poli TimiÈ™oara,Not found,Not found
Le Mans,Not found,Not found
FC Dallas,Not found,Not found
FC Cincinnati,Not found,Not found
Memphis,Not found,Not found
Blackburn,Not found,Not found
HÃ©rcules,Not found,Not found
Alania,Not found,Not found
Kayseri Erciyes,Not found,Not found
Sheffield Weds,Not found,Not found
Zenit,Not found,Not found
Dalian Yifang,Not found,Not found
CSKA Moscow,Not found,Not found
Dalian Professional,Not found,Not found
River Plate,Not found,Not found
Recreativo,Not found,Not found
Toulouse,Not found,Not found
Reims,Not found,Not found
OsmanlÄ±spor,Not found,Not found
AnkaragÃ¼cÃ¼,Not found,Not found
Shenzhen,Not found,Not found
AO Kifisia,Not found,Not found
Esteghlal Khuz,Not found,Not found
Persepolis,Not found,Not found
Antwerp,Not found,Not found
Standard LiÃ¨ge,Not found,Not found
Vecindario,Not found,Not found
PeÃ±arol,Not found,Not found
Tenerife,Not found,Not found
Xerez,Not found,Not found
Lugo,Not found,Not found
Numancia,Not found,Not found
Newell's OB,Not found,Not found
Atlas,Not found,Not found
Lille,Not found,Not found
Extremadura,Not found,Not found
MTK Budapest,Not found,Not found
Tom Tomsk,Not found,Not found
Levadiakos,Not found,Not found
Greuther FÃ¼rth,Not found,Not found
Rijeka,Not found,Not found
Brisbane,Not found,Not found
Real Murcia,Not found,Not found
Eldense,Not found,Not found
Reus,Not found,Not found
Aris,Not found,Not found
Langreo,Not found,Not found
Levski Sofia,Not found,Not found
Carolina,Not found,Not found
Arminia,Not found,Not found
Alcoyano,Not found,Not found
Chicago Fire,Not found,Not found
Al-Taawoun,Not found,Not found
Al-Ettifaq,Not found,Not found
Kuban,Not found,Not found
Krasnodar,Not found,Not found
Iraklis,Not found,Not found
CF La NucÃ­a,Not found,Not found
MirandÃ©s,Not found,Not found
Crotone,Not found,Not found
Siena,Not found,Not found
Latina,Not found,Not found
Parma,Not found,Not found
Al-Fateh,Not found,Not found
Troyes,Not found,Not found
Brest,Not found,Not found
Akhisarspor,Not found,Not found
AtlÃ©tico Ottawa,Not found,Not found
AcadÃ©mica,Not found,Not found
1860 Munich,Not found,Not found
Alanyaspor,Not found,Not found
Moreirense,Not found,Not found
AD Cali,Not found,Not found
ADU Magdalena,Not found,Not found
MÃ¡laga B,Not found,Not found
Steaua,Not found,Not found
Lorca FC,Not found,Not found
Terrassa,Not found,Not found
Ponferradina,Not found,Not found
Lobos BUAP,Not found,Not found
Veracruz,Not found,Not found
Ebro,Not found,Not found
Boavista,Not found,Not found
CE L'Hospitalet,Not found,Not found
FÃ©nix,Not found,Not found
Saguntino,Not found,Not found
Torrent CF,Not found,Not found
FamalicÃ£o,Not found,Not found
Gil Vicente FC,Not found,Not found
Orlando City,Not found,Not found
Apollon Limassol,Not found,Not found
Apollon,Not found,Not found
Perth Glory,Not found,Not found
Ath Paranaense,Not found,Not found
Bilbao B,Not found,Not found
Internacional,Not found,Not found
Pontevedra,Not found,Not found
Omiya Ardija,Not found,Not found
Kawa Frontale,Not found,Not found
Derby County,Not found,Not found
Blackpool,Not found,Not found
Triv. Valderas,Not found,Not found
Mumbai City,Not found,Not found
Bengaluru,Not found,Not found
Majadahonda,Not found,Not found
Llagostera,Not found,Not found
Panthrakikos,Not found,Not found
FC JuÃ¡rez,Not found,Not found
Coritiba,Not found,Not found
Cruzeiro,Not found,Not found
Chapecoense,Not found,Not found
AvaÃ­,Not found,Not found
Boston River,Not found,Not found
Rad,Not found,Not found
Dynamo Kyiv,Not found,Not found
ZagÅ‚Ä™bie Lubin,Not found,Not found
East Bengal,Not found,Not found
Brescia,Not found,Not found
Pisa,Not found,Not found
Ferrol,Not found,Not found
Ontinyent,Not found,Not found
CD L'Alcora,Not found,Not found
RE Mouscron,Not found,Not found
GazÃ©lec Ajaccio,Not found,Not found
Larissa,Not found,Not found
Auxerre,Not found,Not found
Caen,Not found,Not found
Venezia,Not found,Not found
Panionios,Not found,Not found
Hearts,Not found,Not found
Lokeren,Not found,Not found
Helsingborg,Not found,Not found
Augsburg,Not found,Not found
Real Salt Lake,Not found,Not found
Brussels,Not found,Not found
Mechelen,Not found,Not found
Mons,Not found,Not found
Pars Jonoubi,Not found,Not found
Saipa,Not found,Not found
Bahia,Not found,Not found
Bethlehem,Not found,Not found
Philadelphia Union,Not found,Not found
Chaves,Not found,Not found
CuiabÃ¡,Not found,Not found
Vila Nova,Not found,Not found
NYCFC,Not found,Not found
Olhanense,Not found,Not found
KasÄ±mpaÅŸa,Not found,Not found
GÃ¶ztepe,Not found,Not found
Rapid Wien,Not found,Not found
RB Salzburg,Not found,Not found
Viktoria PlzeÅˆ,Not found,Not found
Sporting KC,Not found,Not found
Partizan,Not found,Not found
Beira-Mar,Not found,Not found
Start,Not found,Not found
Rosenborg,Not found,Not found
StabÃ¦k,Not found,Not found
HJK,Not found,Not found
Inter Turku,Not found,Not found
UCAM Murcia,Not found,Not found
Melilla,Not found,Not found
Tudelano,Not found,Not found
Perugia,Not found,Not found
Arezzo,Not found,Not found
Sassuolo,Not found,Not found
Casertana,Not found,Not found
CD Estepona,Not found,Not found
Astana FK,Not found,Not found
Veria,Not found,Not found
Manisaspor,Not found,Not found
Tijuana,Not found,Not found
MazatlÃ¡n,Not found,Not found
Wilstermann,Not found,Not found
Beveren,Not found,Not found
Strasbourg,Not found,Not found
Saint-Ã‰tienne,Not found,Not found
Beijing Renhe,Not found,Not found
Ciudad Murcia,Not found,Not found
NY Cosmos,Not found,Not found
Indy Eleven,Not found,Not found
MarÃ­timo,Not found,Not found
Adelaide,Not found,Not found
Mohun Bagan,Not found,Not found
Punjab,Not found,Not found
Cherno More,Not found,Not found
Jagiellonia,Not found,Not found
Widzew ÅÃ³dÅº,Not found,Not found
Zawisza,Not found,Not found
Lechia GdaÅ„sk,Not found,Not found
Korona Kielce,Not found,Not found
Gaziantep FK,Not found,Not found
ÅšlÄ…sk WrocÅ‚aw,Not found,Not found
Macarthur FC,Not found,Not found
Bordeaux,Not found,Not found
LeixÃµes,Not found,Not found
CFR Cluj,Not found,Not found
Farense,Not found,Not found
HIFK,Not found,Not found
Zulte Waregem,Not found,Not found
Sochaux,Not found,Not found
Ufa,Not found,Not found
Zirka,Not found,Not found
MiedÅº,Not found,Not found
Asteras Tripoli,Not found,Not found
Algeciras,Not found,Not found
Kolkata,Not found,Not found
Karpaty Lviv,Not found,Not found
Real AvilÃ©s,Not found,Not found
CornellÃ ,Not found,Not found
Barakaldo,Not found,Not found
Hajduk Split,Not found,Not found
AEL Kalloni,Not found,Not found
Caudal,Not found,Not found
Ludogorets,Not found,Not found
Chiapas,Not found,Not found
Racing Club,Not found,Not found
Luzern,Not found,Not found
Santos,Not found,Not found
Atromitos,Not found,Not found
U ConcepciÃ³n,Not found,Not found
UniÃ³n EspaÃ±ola,Not found,Not found
Novorizontino,Not found,Not found
Granada 74,Not found,Not found
Club Brugge,Not found,Not found
Junior,Not found,Not found
Gent,Not found,Not found
CD MirandÃ©s,Not found,Not found
SanluqueÃ±o,Not found,Not found
Juventud Torremolinos CF,Not found,Not found
Poli Ejido,Not found,Not found
Maccabi Tel Aviv,Not found,Not found
Villanovense,Not found,Not found
Yeclano,Not found,Not found
UD Alzira,Not found,Not found
Teruel,Not found,Not found
Columbus Crew,Not found,Not found
Fredrikstad,Not found,Not found
ÅKS ÅÃ³dÅº,Not found,Not found
WisÅ‚a KrakÃ³w,Not found,Not found
Grimsby Town,Not found,Not found
San Luis,Not found,Not found
Wanderers,Not found,Not found
Cobreloa,Not found,Not found
Alianza Lima,Not found,Not found
Cienciano,Not found,Not found
Bayern Munich II,Not found,Not found
Hertha BSC,Not found,Not found
Orihuela,Not found,Not found
Oeste,Not found,Not found
Dinamo BucureÈ™ti,Not found,Not found
Reggina,Not found,Not found
CA Bucaramanga,Not found,Not found
Swope Park,Not found,Not found
HonvÃ©d,Not found,Not found
SF Deltas,Not found,Not found
Ottawa Fury,Not found,Not found
Petrolul,Not found,Not found
Plaza Colonia,Not found,Not found
Pandurii,Not found,Not found
Astra Giurgiu,Not found,Not found
Denizlispor,Not found,Not found
Al-Orobah,Not found,Not found
Badajoz,Not found,Not found
Piast Gliwice,Not found,Not found
Ceuta,Not found,Not found
Atl SanluqueÃ±o,Not found,Not found
Skoda Xanthi,Not found,Not found
Xanthi,Not found,Not found
UD Poblense,Not found,Not found
Portimonense,Not found,Not found
GenÃ§lerbirliÄŸi,Not found,Not found
Esbjerg,Not found,Not found
Gaziantepspor,Not found,Not found
Akropolis IF,Not found,Not found
Barnsley,Not found,Not found
Amica Wronki,Not found,Not found
Lech PoznaÅ„,Not found,Not found
Universidad Central,Not found,Not found
Basel,Not found,Not found
Orduspor,Not found,Not found
APOEL FC,Not found,Not found
Vortis,Not found,Not found
Inter de Madrid,Not found,Not found
Platanias,Not found,Not found
Burgos,Not found,Not found
Pafos FC,Not found,Not found
The Strongest,Not found,Not found
Xamax,Not found,Not found
Melb City,Not found,Not found
Pune City,Not found,Not found
NorthEast Utd,Not found,Not found
UD Salamanca B,Not found,Not found
Quilmes,Not found,Not found
Sporting Cristal,Not found,Not found
La Calera,Not found,Not found
UAG,Not found,Not found
LanÃºs,Not found,Not found
Cerezo Osaka,Not found,Not found
VÃ©lez Sarsfield,Not found,Not found
SocuÃ©llamos,Not found,Not found
Portland Timbers,Not found,Not found
Al-Hazem,Not found,Not found
FCSB,Not found,Not found
Santa Clara,Not found,Not found
AtlÃ©tico Baleares,Not found,Not found
Envigado,Not found,Not found
Guangzhou,Not found,Not found
Hapoel Haifa FC,Not found,Not found
Maccabi Haifa,Not found,Not found
Tondela,Not found,Not found
Bragantino,Not found,Not found
RB Bragantino,Not found,Not found
Gil Vicente,Not found,Not found
Feirense,Not found,Not found
Joinville,Not found,Not found
Paysandu,Not found,Not found
SÃ£o Bento,Not found,Not found
Gokulam Kerala,Not found,Not found
Club Deportivo Utrera,Not found,Not found
Celtic,Not found,Not found
Vancouver W'caps,Not found,Not found
VÃ¥lerenga,Not found,Not found
Corinthians,Not found,Not found
Aldosivi,Not found,Not found
Danubio,Not found,Not found
Intercity,Not found,Not found
Shinnik Yaroslavl,Not found,Not found
Loko Moscow,Not found,Not found
Torpedo Moscow,Not found,Not found
Montpellier,Not found,Not found
Anzhi,Not found,Not found
Hamburger SV,Not found,Not found
AÃ‰K LÃ¡rnaka,Not found,Not found
Iquique,Not found,Not found
Sport Boys,Not found,Not found
Piacenza,Not found,Not found
Palermo,Not found,Not found
Fatih KaragÃ¼mrÃ¼k,Not found,Not found
Al-Ta'ee,Not found,Not found
Amorebieta,Not found,Not found
FC Andorra,Not found,Not found
Freiburg,Not found,Not found
Penafiel,Not found,Not found
BÃ©kÃ©scsaba,Not found,Not found
HaladÃ¡s,Not found,Not found
Debrecen,Not found,Not found
Talleres,Not found,Not found
Patronato,Not found,Not found
La Equidad,Not found,Not found
Al-Ittihad,Not found,Not found
Excel Mouscron,Not found,Not found
BotoÈ™ani,Not found,Not found
Vicenza,Not found,Not found
Pro Vercelli,Not found,Not found
Trapani,Not found,Not found
Reggiana,Not found,Not found
Triestina,Not found,Not found
Treviso,Not found,Not found
Cittadella,Not found,Not found
Novara,Not found,Not found
Grosseto,Not found,Not found
Abha,Not found,Not found
Doncaster,Not found,Not found
Boa,Not found,Not found
Juventude,Not found,Not found
VitÃ³ria GuimarÃ£es,Not found,Not found
Aves,Not found,Not found
Damac,Not found,Not found
Qingdao Hainiu,Not found,Not found
Le Havre,Not found,Not found
Rostov,Not found,Not found
Dundee United,Not found,Not found
Istres,Not found,Not found
Jinmen Tiger,Not found,Not found
CacereÃ±o,Not found,Not found
Willem II,Not found,Not found
JaÃ©n,Not found,Not found
Cibalia,Not found,Not found
UniÃ³n,Not found,Not found
Fortaleza,Not found,Not found
Minnesota Utd,Not found,Not found
Belgrano,Not found,Not found
Cremonese,Not found,Not found
ColÃ³n,Not found,Not found
Defensor,Not found,Not found
SPAL,Not found,Not found
Rionegro,Not found,Not found
Al Sadd,Not found,Not found
Politehnica TimiÈ™oara,Not found,Not found
Terek Grozny,Not found,Not found
KarabÃ¼kspor,Not found,Not found
Farul ConstanÈ›a,Not found,Not found
Dordrecht,Not found,Not found
Jong Ajax,Not found,Not found
Once Caldas,Not found,Not found
Pasto,Not found,Not found
CÃºcuta,Not found,Not found
Pereira,Not found,Not found
De Graafschap,Not found,Not found
Defensa y Just,Not found,Not found
AtlÃ© TucumÃ¡n,Not found,Not found
Colo-Colo,Not found,Not found
Nantes,Not found,Not found
Ancona,Not found,Not found
Puerto de Vega,Not found,Not found
Sarpsborg 08,Not found,Not found
Tecos,Not found,Not found
Cercle Brugge,Not found,Not found
Odisha,Not found,Not found
AtlÃ©tico Saguntino,Not found,Not found
AC Omonia,Not found,Not found
Trofense,Not found,Not found
Hatayspor,Not found,Not found
Panetolikos,Not found,Not found
Darmstadt 98,Not found,Not found
Zwolle,Not found,Not found
Portsmouth,Not found,Not found
ZÃ¼rich,Not found,Not found
SJ Earthquakes,Not found,Not found
Young Boys,Not found,Not found
AmÃ©rica (MG),Not found,Not found
Amazonas,Not found,Not found
Chennaiyin,Not found,Not found
Godoy Cruz,Not found,Not found
General Caballero (JLM),Not found,Not found
UniÃ³n Comercio,Not found,Not found
Deportivo Recoleta,Not found,Not found
LDU de Quito,Not found,Not found
Melgar,Not found,Not found
Albirex Niigata,Not found,Not found
JEF United,Not found,Not found
Shonan Bellmare,Not found,Not found
S-Pulse,Not found,Not found
Western United,Not found,Not found
San MartÃ­n SJ,Not found,Not found
Monagas,Not found,Not found
Indep Petrolero,Not found,Not found
Olympic Charleroi,Not found,Not found
Giresunspor,Not found,Not found
TRAU FC,Not found,Not found
Den Bosch,Not found,Not found
San JosÃ©,Not found,Not found
Royal ParÃ­,Not found,Not found
Toledo,Not found,Not found
Haro Deportivo,Not found,Not found
Be'er Sheva,Not found,Not found
Vegalta Sendai,Not found,Not found
SCM Gloria BuzÄƒu,Not found,Not found
Chongqing Lifan,Not found,Not found
Erzgebirge Aue,Not found,Not found
TÃ¢rgu MureÈ™,Not found,Not found
Stal Mielec,Not found,Not found
Legia Warsaw,Not found,Not found
RakÃ³w,Not found,Not found
Charleroi,Not found,Not found
Tubize,Not found,Not found
Kortrijk,Not found,Not found
OH Leuven,Not found,Not found
Suwon FC,Not found,Not found
QarabaÄŸ,Not found,Not found
Tractor Sazi,Not found,Not found
V-V Nagasaki,Not found,Not found
MezÅ‘kÃ¶vesd,Not found,Not found
Brentford,Not found,Not found
Twente,Not found,Not found
FC Honka,Not found,Not found
Lahti,Not found,Not found
Ciudad de Lucena,Not found,Not found
Kallithea,Not found,Not found
Slaven Belupo,Not found,Not found
NEC Nijmegen,Not found,Not found
NAC Breda,Not found,Not found
Wellington,Not found,Not found
Sepsi,Not found,Not found
Voluntari,Not found,Not found
Poli IaÈ™i,Not found,Not found
CD San Roque de Lepe,Not found,Not found
Huelva,Not found,Not found
Sparta Prague,Not found,Not found
Samara,Not found,Not found
Hyderabad FC,Not found,Not found
Lierse,Not found,Not found
PAS Lamia,Not found,Not found
Atlante,Not found,Not found
U de Chile,Not found,Not found
SÃ¼dtirol,Not found,Not found
Deportes Magallanes,Not found,Not found
Dundee,Not found,Not found
MiedÅº Legnica,Not found,Not found
Viitorul,Not found,Not found
SD Beasain,Not found,Not found
Rentistas,Not found,Not found
Racing,Not found,Not found
Juventud de Las Piedras,Not found,Not found
Beijing Guoan,Not found,Not found
Coruxo FC,Not found,Not found
NÃ¡utico,Not found,Not found
FC ChamaliÃ¨res,Not found,Not found
Karlsruher,Not found,Not found
UE Olot,Not found,Not found
UD Llanera,Not found,Not found
Sint-Truiden,Not found,Not found
Unionistas Sal,Not found,Not found
Osijek,Not found,Not found
Linares Dep,Not found,Not found
BrÃ¸ndby,Not found,Not found
GuaireÃ±a,Not found,Not found
GuaranÃ­,Not found,Not found
Club AtlÃ©tico Tembetary,Not found,Not found
Alicante,Not found,Not found
Polonia Warsaw,Not found,Not found
BodÃ¸/Glimt,Not found,Not found
Real Betis,Not found,Not found
Colorado Rapids,Not found,Not found
SC Salgueiros,Not found,Not found
Fortuna Sittard,Not found,Not found
Union SG,Not found,Not found
Adana Demirspor,Not found,Not found
Metalist,Not found,Not found
Rampla Juniors,Not found,Not found
Videoton,Not found,Not found
Sturm Graz,Not found,Not found
PAS Giannina,Not found,Not found
JÃºbilo Iwata,Not found,Not found
Al-Ain,Not found,Not found
Caracas,Not found,Not found
Paderborn 07,Not found,Not found
VestsjÃ¦lland,Not found,Not found
Aalborg,Not found,Not found
Sogndal,Not found,Not found
IF Gnistan,Not found,Not found
Guijuelo,Not found,Not found
Zamora,Not found,Not found
Real UniÃ³n,Not found,Not found
Ãguilas,Not found,Not found
Hammarby,Not found,Not found
NÃ®mes,Not found,Not found
Andratx,Not found,Not found
Modena,Not found,Not found
FC Copenhagen,Not found,Not found
Molde,Not found,Not found
Jahn R'burg,Not found,Not found
NordsjÃ¦lland,Not found,Not found
Motherwell,Not found,Not found
Odense,Not found,Not found
FC Tokyo,Not found,Not found
Curico Unido,Not found,Not found
Concordia,Not found,Not found
AthlÃ©tico MS,Not found,Not found
