club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
Colo-Colo,https://www.transfermarkt.com/csd-colo-colo/startseite/verein/2433,CSD Colo,Liga de Primera,CLPD,https://www.transfermarkt.com/primera-division-de-chile/startseite/wettbewerb/CLPD,First Tier,,1,9 years,€13.08m,26,26.5,5,,2,Monumental David Arellano,,+€4.16m,ok
Ancona,https://www.transfermarkt.com/us-anconitana/startseite/verein/1388,Ancona Calcio,Serie D - Girone F,IT4F,https://www.transfermarkt.com/serie-d-girone-f/startseite/wettbewerb/IT4F,Fourth Tier,,2,2 years,€1.98m,30,24.4,3,,0,Del Conero,,+€75k,ok
Tecos,https://www.transfermarkt.com/tecos-fc/startseite/verein/4565,Tecos FC,Liga Expansión MX Cl.,MEX2,https://www.transfermarkt.com/liga-de-expansion-mx-clausura/startseite/wettbewerb/MEX2,,,,,,8,23.0,0,,0,Estadio 3 de Marzo,,,ok
AtlÃ©tico Saguntino,https://www.transfermarkt.com/atletico-saguntino/startseite/verein/50257,Atlético Saguntino,Segunda Federación - Gr. III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,,,,,,22,24.4,2,,0,Nou Camp de Morvedre,,,ok
AC Omonia,https://www.transfermarkt.com/omonia-nikosia/startseite/verein/829,Omonia Nicosia,Cyprus League,ZYP1,https://www.transfermarkt.com/protathlima-cyta/startseite/wettbewerb/ZYP1,First Tier,,1,26 years,€17.25m,33,26.8,20,,11,GSP Stadium,,+€1.39m,ok
SJ Earthquakes,https://www.transfermarkt.com/san-jose-earthquakes/startseite/verein/218,San Jose Earthquakes,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,2,19 years,€21.75m,29,26.0,9,,2,PayPal Park,,+€580k,ok
UniÃ³n Comercio,https://www.transfermarkt.com/cd-union-comercio/startseite/verein/31337,CD Unión Comercio,Liga 2,PER2,https://www.transfermarkt.com/liga-2/startseite/wettbewerb/PER2,Second Tier,,3,2 years,€3.15m,29,24.9,4,,0,Estadio Carlos Vidaurre García,,,ok
LDU de Quito,https://www.transfermarkt.com/ldu-quito/startseite/verein/9855,LDU Quito,LigaPro Serie A,EC1N,https://www.transfermarkt.com/ligapro-serie-a/startseite/wettbewerb/EC1N,First Tier,,2,2 years,€17.80m,28,27.5,8,,5,Rodrigo Paz Delgado,,+€3.29m,ok
Melgar,https://www.transfermarkt.com/fbc-melgar/startseite/verein/2734,FBC Melgar,Liga 1 Apertura,TDEA,https://www.transfermarkt.com/liga-1-apertura/startseite/wettbewerb/TDeA,First Tier,,5,10 years,€11.16m,38,25.8,10,,4,Estadio Monumental de la UNSA,,+€670k,ok
S-Pulse,https://www.transfermarkt.com/shimizu-s-pulse/startseite/verein/1062,Shimizu S,J1 100 Year Vision League,J1YV,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,,,6,1 year,€12.90m,36,26.6,8,,3,IAI Stadium Nihondaira,,+€340k,ok
Den Bosch,https://www.transfermarkt.com/fc-den-bosch/startseite/verein/404,FC Den Bosch,Keuken Kampioen Divisie,NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Second Tier,,9,21 years,€6.30m,24,24.7,9,,2,"Stadion ""De Vliert""",,+€1.20m,ok
San JosÃ©,https://www.transfermarkt.com/san-jose-earthquakes/startseite/verein/218,San Jose Earthquakes,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,2,19 years,€21.75m,29,26.0,9,,2,PayPal Park,,+€580k,ok
Toledo,https://www.transfermarkt.com/cd-toledo/startseite/verein/2929,CD Toledo,Segunda Federación - Gr. V,E4G5,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-v/startseite/wettbewerb/E4G5,,,,,,26,25.7,2,,0,Salto del Caballo,,,ok
RakÃ³w,https://www.transfermarkt.com/rakow-czestochowa/startseite/verein/9644,Raków Częstochowa,PKO BP Ekstraklasa,PL1,https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1,First Tier,,4,7 years,€40.00m,29,25.2,17,,4,zondacrypto Arena,,,ok
OH Leuven,https://www.transfermarkt.com/oud-heverlee-leuven/startseite/verein/2727,Oud,Jupiler Pro League,BE1,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,First Tier,Belgium,12,6 years,€29.65m,28,25.9,14,,1,King Power at Den Dreef Stadion,,+€14.45m,ok
Lahti,https://www.transfermarkt.com/fc-lahti/startseite/verein/2925,FC Lahti,Veikkausliiga,FI1,https://www.transfermarkt.com/veikkausliiga/startseite/wettbewerb/FI1,First Tier,,8,1 year,€2.30m,23,24.5,9,,0,Lahden Stadion,,,ok
Wellington,https://www.transfermarkt.com/wellington-phoenix/startseite/verein/8445,Wellington Phoenix,A-League Men,AUS1,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1,First Tier,Australia,8,19 years,€8.15m,28,25.3,9,,7,Hnry Stadium,,,ok
Samara,https://www.transfermarkt.com/yunit-samara/startseite/verein/16618,Yunit Samara,,,,,,,,,0,0.0,,,0,-,,,ok
SÃ¼dtirol,https://www.transfermarkt.com/fc-sudtirol/startseite/verein/4554,FC Südtirol,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,16,4 years,€19.25m,27,28.1,8,,1,Druso,,+€90k,ok
Viitorul,https://www.transfermarkt.com/acs-viitorul-cluj/startseite/verein/86655,Viitorul Cluj,,,,,,,,,34,20.0,6,,0,Baza Sportivă Dan Anca,,,ok
Racing,https://www.transfermarkt.com/racing-club/startseite/verein/1444,Racing Club,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,First Tier,Argentina,8,2 years,€79.18m,30,26.2,4,,2,Presidente Perón,,+€10.17m,ok
NÃ¡utico,https://www.transfermarkt.com/nautico-fc/startseite/verein/115581,Náutico FC,,,,,,,,,3,29.4,0,,0,-,,,ok
FC ChamaliÃ¨res,https://www.transfermarkt.com/fc-chamalieres/startseite/verein/46579,FC Chamalières,Championnat National 3 - Groupe G,C3HF,https://www.transfermarkt.com/championnat-national-3-hauts-de-france/startseite/wettbewerb/C3HF,Fifth Tier,,11,1 year,,29,26.6,1,,0,Complexe sportif Claude Wolff,,,ok
GuaireÃ±a,https://www.transfermarkt.com/guairena-fc/startseite/verein/63181,Guaireña FC,División Intermedia,PAR2,https://www.transfermarkt.com/division-intermedia/startseite/wettbewerb/PAR2,Second Tier,,10,2 years,€325k,33,25.3,2,,0,Estadio Parque del Guairá,,,ok
GuaranÃ­,https://www.transfermarkt.com/club-guarani/startseite/verein/11855,Club Guaraní,Primera División Apertura,PR1A,https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/PR1A,First Tier,,7,12 years,€16.75m,28,24.8,6,,2,Estadio Rogelio Livieres,,+€3.07m,ok
Club AtlÃ©tico Tembetary,https://www.transfermarkt.com/atletico-tembetary/startseite/verein/908,Atlético Tembetary,División Intermedia,PAR2,https://www.transfermarkt.com/division-intermedia/startseite/wettbewerb/PAR2,Second Tier,,4,1 year,,28,26.8,2,,0,-,,,ok
Alicante,https://www.transfermarkt.com/cf-independiente-alicante/startseite/verein/69359,CF Independiente Alicante,,,,,,,,,7,24.2,2,,0,Ciudad Deportiva Antonio Solana,,,ok
JÃºbilo Iwata,https://www.transfermarkt.com/jubilo-iwata/startseite/verein/937,Júbilo Iwata,J2/J3 100 Year Vision League,J2J3,https://www.transfermarkt.com/j2-j3-100-year-vision-league/startseite/wettbewerb/J2J3,,,8,1 year,€12.05m,34,26.8,3,,0,Yamaha Stadium,,,ok
Caracas,https://www.transfermarkt.com/caracas-fc/startseite/verein/531,Caracas FC,Liga FUTVE Apertura,VZ1A,https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/VZ1A,First Tier,,10,3 years,€5.00m,25,24.0,3,,1,Estadio Olímpico de la Ciudad Universitaria,,+€1.15m,ok
Zamora,https://www.transfermarkt.com/zamora-fc/startseite/verein/18018,Zamora FC,Liga FUTVE Apertura,VZ1A,https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/VZ1A,First Tier,,9,3 years,€5.63m,37,26.9,7,,0,Estadio Agustín Tovar,,,ok
NÃ®mes,https://www.transfermarkt.com/sc-nimes/startseite/verein/63668,SC Nîmes,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,,France,,,,0,0.0,,,0,Stade Jean Bouin,,,ok
Molde,https://www.transfermarkt.com/molde-fk/startseite/verein/687,Molde FK,Eliteserien,NO1,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,First Tier,Norway,4,19 years,€26.95m,28,24.9,10,,1,Aker Stadion,,,ok
Curico Unido,https://www.transfermarkt.com/cdp-curico-unido/startseite/verein/19027,Curicó Unido,Liga de Ascenso,CL2B,https://www.transfermarkt.com/primera-b/startseite/wettbewerb/CL2B,Second Tier,,13,3 years,€4.25m,28,27.3,6,,0,La Granja,,+€525k,ok
Al-Khaleej,https://www.transfermarkt.com/al-khaleej/startseite/verein/6070,Al,Saudi Pro League,SA1,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1,First Tier,,11,4 years,€12.78m,27,30.0,9,,3,Prince Mohamed bin Fahd Stadium,,+€8.90m,ok
MÃ©rida AD,https://www.transfermarkt.com/merida-ad/startseite/verein/46854,Mérida AD,Primera Federación - Grupo I,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,Third Tier,,11,1 year,€4.15m,23,26.4,7,,0,Romano José Fouto,,,ok
Tigre,https://www.transfermarkt.com/club-atletico-tigre/startseite/verein/11831,Club Atlético Tigre,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,First Tier,Argentina,10,2 years,€37.23m,30,26.2,4,,0,José Dellagiovanna,,+€915k,ok
Evian,https://www.transfermarkt.com/us-evian-lugrin/startseite/verein/79789,US Evian Lugrin,,,,,,,,,0,0.0,,,0,-,,,ok
Maldonado,https://www.transfermarkt.com/cd-maldonado/startseite/verein/18075,Club Deportivo Maldonado,Liga AUF Intermedio,URUI,https://www.transfermarkt.com/torneo-intermedio/startseite/wettbewerb/URUI,First Tier,,4,1 year,€7.01m,28,26.7,6,,0,Estadio Domingo Burgueño Miguel,,,ok
Aalen,https://www.transfermarkt.com/vfr-aalen/startseite/verein/83,VfR Aalen,Oberliga Baden-Württemberg,OBLB,https://www.transfermarkt.com/oberliga-baden-wurttemberg/startseite/wettbewerb/OBLB,Fifth Tier,,1,2 years,€15k,24,25.9,3,,0,CENTUS Arena,,+€15k,ok
SorkhPooshan FC,https://www.transfermarkt.com/sorkhpooshan-qom/startseite/verein/96080,Sorkhpooshan Qom,,,,,,,,,3,27.8,0,,0,-,,,ok
HuracÃ¡n,https://www.transfermarkt.com/huracan-futbol-club/startseite/verein/34318,Huracán FC,Segunda División - Torneo Competencia,UR2T,https://www.transfermarkt.com/liga-de-ascenso-torneo-competencia/startseite/wettbewerb/UR2T,First Tier,,2,1 year,€1.18m,29,26.8,3,,0,-,,,ok
Avellino,https://www.transfermarkt.com/us-avellino-1912/startseite/verein/2331,US Avellino 1912,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,8,1 year,€20.48m,30,27.7,5,,1,Partenio-Adriano Lombardi,,,ok
CearÃ¡,https://www.transfermarkt.com/ceara-sporting-club-u20/startseite/verein/17892,Ceará SC U20,CBF Brasileiro U20,CB20,https://www.transfermarkt.com/cbf-brasileiro-u20/startseite/wettbewerb/CB20,,,,,,43,19.1,0,,0,-,,,ok
Sedan,https://www.transfermarkt.com/krupki-drsu-164/startseite/verein/90666,Sedan Krupki,,,,,,,,,11,25.7,0,,0,Lebortovo,,,ok
Al-Qadsiah,https://www.transfermarkt.com/al-qadisiyah-fc/startseite/verein/26069,Al,Saudi Pro League,SA1,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1,First Tier,,4,2 years,€118.08m,23,28.4,10,,12,Prince Mohamed bin Fahd Stadium,,,ok
Morton,https://www.transfermarkt.com/greenock-morton-fc/startseite/verein/3026,Greenock Morton FC,Scottish Championship,SC2,https://www.transfermarkt.com/scottish-championship/startseite/wettbewerb/SC2,Second Tier,,8,11 years,€2.18m,24,26.4,7,,0,Cappielow Park,,,ok
Nice,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417,OGC Nice,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,First Tier,France,16,24 years,€169.10m,29,25.8,18,,12,Allianz Riviera,,+€72.82m,ok
La LouviÃ¨re,https://www.transfermarkt.com/raal-la-louviere/startseite/verein/3901,RAAL La Louvière,Jupiler Pro League,BE1,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,First Tier,Belgium,15,1 year,€16.10m,25,25.2,19,,5,Easi Arena,,,ok
Catania,https://www.transfermarkt.com/catania-calcio/startseite/verein/1627,Catania FC,Serie C - Girone C,IT3C,https://www.transfermarkt.com/serie-c-girone-c/startseite/wettbewerb/IT3C,Third Tier,,2,3 years,€8.68m,30,29.2,5,,0,Cibali - Angelo Massimino,,,ok
BolÃ­var,https://www.transfermarkt.com/bolivar-sc/startseite/verein/93377,Bolívar SC,Liga FUTVE 2,VN2A,https://www.transfermarkt.com/segunda-division-de-venezuela-apertura/startseite/wettbewerb/VN2A,Second Tier,,4,4 years,€1.39m,34,24.9,1,,0,CTE Cachamay,,,ok
Monza,https://www.transfermarkt.com/ac-monza/startseite/verein/2919,AC Monza,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,3,1 year,€46.25m,28,26.9,12,,2,Brianteo,,+€9.90m,ok
Sarmiento,https://www.transfermarkt.com/club-atletico-sarmiento-junin-/startseite/verein/12454,CA Sarmiento (Junin),Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,First Tier,Argentina,11,2 years,€13.03m,33,27.0,7,,0,Eva Perón,,+€853k,ok
Cerro,https://www.transfermarkt.com/cerro-largo-fc/startseite/verein/20189,Cerro Largo FC,Liga AUF Intermedio,URUI,https://www.transfermarkt.com/torneo-intermedio/startseite/wettbewerb/URUI,First Tier,,3,3 years,€5.78m,30,25.4,6,,0,Estadio Arquitecto Antonio Eleuterio Ubilla,,+€863k,ok
Talavera,https://www.transfermarkt.com/cf-talavera-de-la-reina/startseite/verein/47421,CF Talavera de la Reina,Primera Federación - Grupo I,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,Third Tier,,18,1 year,€3.35m,21,27.1,3,,0,El Prado,,,ok
Naval,https://www.transfermarkt.com/naval-de-talcahuano/startseite/verein/19649,Naval de Talcahuano,Primera B Apertura,CHL2,https://www.transfermarkt.com/primera-b-apertura/startseite/wettbewerb/CHL2,,,,,,32,25.1,0,,0,El Morro,,,ok
Jong PSV,https://www.transfermarkt.com/psv-eindhoven-ii/startseite/verein/9715,PSV Eindhoven U21,Keuken Kampioen Divisie,NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Second Tier,,7,13 years,€9.30m,23,19.5,8,,0,"TenCate Stadion ""De Herdgang""",,,ok
EyÃ¼pspor,https://www.transfermarkt.com/eyupspor/startseite/verein/7160,Eyüpspor,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,First Tier,Turkey,13,2 years,€13.45m,27,24.7,14,,0,Recep Tayyip Erdoğan Stadyumu,,+€6.35m,ok
Foolad,https://www.transfermarkt.com/foolad-fc/startseite/verein/6076,Foolad FC,Persian Gulf Pro League,IRN1,https://www.transfermarkt.com/persian-gulf-pro-league/startseite/wettbewerb/IRN1,First Tier,,7,18 years,€7.03m,30,29.0,2,,2,Foolad Arena,,,ok
Litex Lovech,https://www.transfermarkt.com/pfc-litex-lovech-u19/startseite/verein/16034,Lovech U19,,,,,,,,,0,0.0,,,0,-,,,ok
CriciÃºma,https://www.transfermarkt.com/criciuma-esporte-clube/startseite/verein/7178,Criciúma EC,Campeonato Brasileiro Série B,BRA2,https://www.transfermarkt.com/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2,Second Tier,,7,2 years,€11.98m,32,28.5,2,,0,Estádio Heriberto Hülse,,,ok
DÃ¼sseldorf,https://www.transfermarkt.com/fortuna-dusseldorf/startseite/verein/38,Fortuna Düsseldorf,2. Bundesliga,L2,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,Second Tier,Germany,15,6 years,€33.63m,31,25.5,13,,5,MERKUR SPIEL-ARENA,,+€5.18m,ok
GoiÃ¡s,https://www.transfermarkt.com/goias-ec/startseite/verein/3197,Goiás EC,Campeonato Brasileiro Série B,BRA2,https://www.transfermarkt.com/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2,Second Tier,,11,3 years,€13.75m,28,28.5,1,,0,Estádio de Hailé Pinheiro,,+€610k,ok
Estrela,https://www.transfermarkt.com/cf-estrela-amadora-sad/startseite/verein/2431,CF Estrela Amadora,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Poland,15,3 years,€21.00m,31,25.2,26,,4,Estádio José Gomes,,+€5.83m,ok
San Martin,https://www.transfermarkt.com/san-martin-de-mendoza/startseite/verein/8413,AC San Martín (Mendoza),Torneo Federal A,ARG3,https://www.transfermarkt.com/torneo-federal-a/startseite/wettbewerb/ARG3,Third Tier,,9,4 years,,29,25.7,1,,0,Libertador General San Martín,,,ok
Henan,https://www.transfermarkt.com/henan-songshan-longmen/startseite/verein/9982,Henan FC,Chinese Super League,CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,First Tier,,12,13 years,€6.90m,33,27.3,6,,2,Zhengzhou Hanghai Stadium,,,ok
Brann,https://www.transfermarkt.com/sk-brann/startseite/verein/1100,SK Brann,Eliteserien,NO1,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,First Tier,Norway,8,4 years,€26.95m,29,25.5,11,,6,Brann Stadion,,+€9.79m,ok
Ã–rebro,https://www.transfermarkt.com/orebro-sk/startseite/verein/1056,Örebro SK,Superettan,SE2,https://www.transfermarkt.com/superettan/startseite/wettbewerb/SE2,Second Tier,,4,5 years,€3.80m,23,24.1,8,,1,Behrn Arena,,+€590k,ok
OrlÃ©ans,https://www.transfermarkt.com/us-orleans/startseite/verein/10868,US Orléans,Championnat National,FR3,https://www.transfermarkt.com/championnat-national/startseite/wettbewerb/FR3,Third Tier,,6,6 years,€5.05m,22,27.2,5,,1,Stade de la Source,,,ok
HyÃ¨res FC,https://www.transfermarkt.com/hyeres-fc-u19/startseite/verein/123661,Hyères FC U19,,,,,,,,,18,18.1,0,,0,-,,,ok
FC Baltika Kaliningrad,https://www.transfermarkt.com/baltika-kaliningrad/startseite/verein/2741,Baltika Kaliningrad,Premier Liga,RU1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,First Tier,Russia,6,1 year,€29.75m,28,25.7,11,,6,Rostec Arena,,+€978k,ok
Barnet,https://www.transfermarkt.com/fc-barnet/startseite/verein/2804,Barnet FC,League Two,GB4,https://www.transfermarkt.com/league-two/startseite/wettbewerb/GB4,Fourth Tier,England,8,1 year,€4.40m,28,26.7,8,,2,The Hive Stadium,,,ok
Moss,https://www.transfermarkt.com/moss-fk/startseite/verein/2961,Moss FK,OBOS-ligaen,NO2,https://www.transfermarkt.com/obos-ligaen/startseite/wettbewerb/NO2,Second Tier,,7,4 years,€3.68m,24,23.1,7,,0,Melløs stadion,,+€1.45m,ok
MK Dons,https://www.transfermarkt.com/milton-keynes-dons/startseite/verein/991,Milton Keynes Dons,League Two,GB4,https://www.transfermarkt.com/league-two/startseite/wettbewerb/GB4,Fourth Tier,England,2,3 years,€9.48m,28,28.5,10,,1,Stadium mk,,,ok
V. Francavilla,https://www.transfermarkt.com/virtus-francavilla-calcio/startseite/verein/49939,Virtus Francavilla Calcio,Serie D - Girone H,IT4H,https://www.transfermarkt.com/serie-d-girone-h/startseite/wettbewerb/IT4H,Fourth Tier,,9,2 years,€1.45m,24,25.4,9,,0,Giovanni Paolo II - Nuovarredo Arena,,,ok
SJK,https://www.transfermarkt.com/sjk-seinajoki/startseite/verein/23777,SJK Seinäjoki,Veikkausliiga,FI1,https://www.transfermarkt.com/veikkausliiga/startseite/wettbewerb/FI1,First Tier,,10,13 years,€3.90m,28,22.1,12,,5,OmaSp Stadion,,+€150k,ok
Darlington,https://www.transfermarkt.com/fc-darlington/startseite/verein/37486,Darlington FC,National League North,NLN6,https://www.transfermarkt.com/national-league-north/startseite/wettbewerb/NLN6,Sixth Tier,,9,10 years,,26,26.5,6,,0,Blackwell Meadows,,,ok
Wealdstone,https://www.transfermarkt.com/fc-wealdstone/startseite/verein/4117,Wealdstone FC,National League,CNAT,https://www.transfermarkt.com/national-league/startseite/wettbewerb/CNAT,Fifth Tier,,15,6 years,€550k,25,25.7,8,,1,The Freebets.co.uk Stadium,,,ok
Preston,https://www.transfermarkt.com/preston-lions-fc/startseite/verein/12991,Preston Lions FC,National Premier League - Victoria,A2VI,https://www.transfermarkt.com/national-premier-league-victoria/startseite/wettbewerb/A2VI,Second Tier,,7,2 years,,28,25.8,6,,1,BT Connor Reserve,,,ok
Bury,https://www.transfermarkt.com/fc-bury/startseite/verein/2413,Bury FC,League Two,GB4,https://www.transfermarkt.com/league-two/startseite/wettbewerb/GB4,,England,,,,26,27.0,4,,0,Gigg Lane,,,ok
Angers,https://www.transfermarkt.com/sco-angers/startseite/verein/1420,Angers SCO,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,First Tier,France,13,2 years,€72.70m,24,25.9,14,,6,Stade Raymond-Kopa,,+€20.25m,ok
Catanzaro,https://www.transfermarkt.com/us-catanzaro/startseite/verein/4097,US Catanzaro,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,5,3 years,€39.00m,30,25.5,6,,0,Nicola Ceravolo,,+€6.37m,ok
Messina,https://www.transfermarkt.com/fc-messina/startseite/verein/38995,FC Messina,Serie D - I,IT4I,https://www.transfermarkt.com/serie-d-girone-i/startseite/wettbewerb/IT4I,,,,,,0,0.0,,,0,Giovanni Celeste,,,ok
Ascoli,https://www.transfermarkt.com/ascoli-calcio/startseite/verein/408,Ascoli Calcio,Serie C - Girone B,IT3B,https://www.transfermarkt.com/serie-c-girone-b/startseite/wettbewerb/IT3B,Third Tier,,2,2 years,€6.55m,25,26.4,4,,0,Cino e Lillo Del Duca,,,ok
Charlotte,https://www.transfermarkt.com/charlotte-fc/startseite/verein/78435,Charlotte FC,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,9,5 years,€43.50m,29,26.4,17,,7,Bank of America Stadium,,+€8.97m,ok
Buxton,https://www.transfermarkt.com/buxton-fc/startseite/verein/10895,Buxton FC,National League North,NLN6,https://www.transfermarkt.com/national-league-north/startseite/wettbewerb/NLN6,Sixth Tier,,5,4 years,,29,23.3,3,,1,Tarmac Silverlands Stadium,,,ok
Viking,https://www.transfermarkt.com/viking-stavanger/startseite/verein/239,Viking FK,Eliteserien,NO1,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,First Tier,Norway,1,8 years,€33.18m,25,25.7,7,,2,Lyse Arena,,,ok
Bromley,https://www.transfermarkt.com/fc-bromley/startseite/verein/8981,Bromley FC,League Two,GB4,https://www.transfermarkt.com/league-two/startseite/wettbewerb/GB4,Fourth Tier,England,1,2 years,€4.23m,24,27.7,5,,0,CopperJax Community Stadium,,,ok
Arda,https://www.transfermarkt.com/pfc-arda-kardzhali/startseite/verein/40604,Arda Kardzhali,efbet Liga,BU1,https://www.transfermarkt.com/efbet-liga/startseite/wettbewerb/BU1,First Tier,,7,7 years,€11.95m,22,28.7,8,,4,Arena Arda,,+€1.95m,ok
Queen's Park FC,https://www.transfermarkt.com/queens-park-fc/startseite/verein/3031,Queen's Park FC,Scottish Championship,SC2,https://www.transfermarkt.com/scottish-championship/startseite/wettbewerb/SC2,Second Tier,,6,4 years,€2.49m,24,25.8,6,,0,Hampden Park,,,ok
