club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
Zaragoza,https://www.transfermarkt.mx/real-zaragoza/startseite/verein/142,Real Zaragoza,Segunda División,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,,,,,,,,,,,,clubs2
Sporting GijÃ³n,https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448,Sporting Gijón,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,13,9 years,€26.90m,24,27,7,,0,El Molinón - Enrique Castro 'Quini',,,clubs2
Sabadell,https://www.transfermarkt.com/ce-sabadell/startseite/verein/11422,CE Sabadell FC,Primera Federación - Grupo II,E3G2,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,Third Tier,Spain,2,1 year,€5.35m,25,26.8,3,,0,Nova Creu Alta,,+€120k,clubs2
Kerala Blasters,https://www.transfermarkt.com/kerala-blasters-fc/startseite/verein/45277,Kerala Blasters FC,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,8,9 years,€2.28m,32,25.4,8,,2,Jawaharlal Nehru Stadium - Kochi,,,clubs2
Goa,https://www.transfermarkt.com/fcgoa/startseite/verein/45321,FC Goa,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,6,9 years,€3.33m,29,26.4,2,,6,Jawaharlal Nehru Stadium - Goa,,+€188k,clubs2
Arenas Club de Getxo,https://www.transfermarkt.mx/arenas-club/startseite/verein/16122,Arenas Club,Primera Federación - Grupo 1,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,Third Tier,Spain,,,,,,,,,,,,clubs2
Benfica,https://www.transfermarkt.com/benfica-lissabon/startseite/verein/294,SL Benfica,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Portugal,3,37 years,€364.50m,28,24.8,16,,17,Estádio da Luz,,,clubs2
Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418,Real Madrid,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,2,87 years,€18.00m,29,25.7,17,,18,Santiago Bernabéu,,,clubs2
Manchester Utd,https://www.transfermarkt.com/manchester-united/startseite/verein/985,Manchester United,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,3,34 years,€747.15m,24,26.6,18,,15,Old Trafford,,,clubs2
Paris S-G,https://www.transfermarkt.mx/fc-paris-saint-germain/startseite/verein/583,París Saint,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,First Tier,France,,,,,,,,,,,,clubs2
Juventus,https://www.transfermarkt.com/juventus-turin/startseite/verein/506,Juventus FC,Serie A,IT1,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1,First Tier,Italy,3,19 years,€544.20m,25,27.4,18,,19,Allianz Stadium,,,clubs2
Rosario Central,https://www.transfermarkt.com/club-atletico-rosario-central/startseite/verein/1418,CA Rosario Central,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,First Tier,Argentina,4,2 years,€52.05m,29,27.3,5,,3,Gigante de Arroyito,,,clubs2
Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131,FC Barcelona,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,1,87 years,€3.70m,25,25.5,11,,17,Spotify Camp Nou,,+€3.70m,clubs2
Barcelona B,https://www.transfermarkt.com/fc-barcelona-b/startseite/verein/2464,FC Barcelona Atlètic,Segunda Federación - Grupo III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,Spain,6,1 year,€28.18m,30,20.1,7,,2,Johan Cruyff,,+€5.70m,clubs2
Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405,Aston Villa,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,4,7 years,€547.50m,25,28.3,17,,12,Villa Park,,,clubs2
Wolves,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543,Wolverhampton Wanderers,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,20,8 years,€277.10m,23,26.4,19,,12,Molineux Stadium,,+€81.10m,clubs2
Fulham,https://www.transfermarkt.com/fc-fulham/startseite/verein/931,Fulham FC,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,11,4 years,€386.95m,24,28.3,20,,12,Craven Cottage,,,clubs2
Betis,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150,Real Betis Balompié,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,5,11 years,€248.80m,27,29.2,13,,11,La Cartuja,,,clubs2
West Ham,https://www.transfermarkt.com/west-ham-united/startseite/verein/379,West Ham United,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,18,14 years,€362.95m,24,26.7,17,,8,London Stadium,,,clubs2
Liverpool,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31,Liverpool FC,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,5,34 years,€28.00m,28,26.1,21,,18,Anfield,,,clubs2
La CoruÃ±a,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897,Deportivo de La Coruña,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,3,2 years,€54.10m,25,27.4,6,,0,Abanca Riazor,,,clubs2
AlavÃ©s,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108,Deportivo Alavés,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,15,3 years,€66.90m,24,28.1,10,,3,Mendizorroza,,+€20.88m,clubs2
MÃ¡laga,https://www.transfermarkt.mx/malaga-cf/startseite/verein/1084,Málaga CF,Segunda División,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,,,,,,,,,,,,clubs2
AtlÃ©tico Madrid,https://www.transfermarkt.es/club-atletico-de-madrid/startseite/verein/13,Atlético de Madrid,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,,,,,,,,,,,,clubs2
Porto,https://www.transfermarkt.com/fc-porto/startseite/verein/720,FC Porto,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Portugal,1,37 years,€426.90m,27,26.4,20,,13,Estádio do Dragão,,,clubs2
Villarreal,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050,Villarreal CF,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,3,13 years,€282.50m,26,26.8,13,,10,La Cerámica,,+€2.50m,clubs2
Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331,CA Osasuna,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,13,7 years,€100.80m,23,28.1,3,,3,El Sadar,,+€1.50m,clubs2
Rangers,https://www.transfermarkt.com/rangers-fc/startseite/verein/124,Rangers FC,Scottish Premiership,SC1,https://www.transfermarkt.com/scottish-premiership/startseite/wettbewerb/SC1,First Tier,Scotland,2,10 years,€121.45m,26,25.4,21,,14,Ibrox Stadium,,,clubs2
Tottenham,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148,Tottenham Hotspur,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,17,34 years,€802.50m,28,25.9,22,,20,Tottenham Hotspur Stadium,,,clubs2
Sunderland,https://www.transfermarkt.mx/afc-sunderland/startseite/verein/289,Sunderland AFC,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,,,,,,,,,,,,clubs2
Mallorca,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237,RCD Mallorca,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,18,5 years,€89.00m,26,27.8,11,,8,Mallorca Son Moix,,+€800k,clubs2
Nott'ham Forest,https://www.transfermarkt.mx/nottinghamforest/startseite/verein/703,Nottingham Forest,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,,,,,,,,,,,,clubs2
Bolton,https://www.transfermarkt.com/bolton-wanderers/startseite/verein/355,Bolton Wanderers,League One,GB3,https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3,Third Tier,England,5,5 years,€22.68m,27,26,16,,3,Toughsheet Community Stadium,,+€1.13m,clubs2
Rayo Vallecano,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367,Rayo Vallecano,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,9,5 years,€107.30m,27,28.8,14,,7,Estadio de Vallecas,,,clubs2
Lleida,https://www.transfermarkt.com/ce-atletic-lleida-2019/startseite/verein/92869,CE Atlètic Lleida,Segunda Federación - Grupo III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,Spain,16,1 year,€1.43m,26,26.6,4,,0,Camp d´Esports de Lleida,,,clubs2
Wigan Athletic,https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071,Wigan Athletic,League One,GB3,https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3,Third Tier,England,16,3 years,€9.45m,28,25.6,12,,1,Brick Community Stadium,,,clubs2
Como,https://www.transfermarkt.com/como-1907/startseite/verein/1047,Como 1907,Serie A,IT1,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1,First Tier,Italy,6,2 years,€351.70m,27,26.3,25,,10,Giuseppe Sinigaglia,,,clubs2
Genk,https://www.transfermarkt.com/krc-genk/startseite/verein/1184,KRC Genk,Jupiler Pro League,BE1,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,First Tier,Belgium,7,30 years,€138.70m,27,23.7,14,,8,Cegeka Arena,,+€41.30m,clubs2
Toronto FC,https://www.transfermarkt.com/toronto-fc/startseite/verein/11141,Toronto FC,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,United States,10,20 years,€49.78m,27,26.3,14,,8,BMO Field,,,clubs2
Inter Miami,https://www.transfermarkt.com/inter-miami-cf/startseite/verein/69261,Inter Miami CF,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,United States,2,7 years,€86.93m,27,25.3,20,,8,Nu Stadium,,,clubs2
Konyaspor,https://www.transfermarkt.com/konyaspor/startseite/verein/2293,Konyaspor,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,First Tier,Turkey,9,13 years,€37.65m,30,27.4,15,,5,Medaş Konya Büyükşehir Stadyumu,,,clubs2
Al-Fayha,https://www.transfermarkt.com/al-fayha-fc/startseite/verein/50531,Al,Saudi Pro League,SA1,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1,First Tier,Saudi Arabia,10,5 years,€16.83m,29,27.1,9,,3,Al-Majma'ah Sports City,,+€3.35m,clubs2
Bastia,https://www.transfermarkt.com/sc-bastia/startseite/verein/595,SC Bastia,Ligue 2,FR2,https://www.transfermarkt.com/ligue-2/startseite/wettbewerb/FR2,Second Tier,France,17,5 years,€13.00m,28,25.9,11,,4,Stade Armand-Cesari,,+€8.00m,clubs2
Arsenal,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11,Arsenal FC,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,1,34 years,€35.00m,25,26.3,17,,20,Emirates Stadium,,,clubs2
Charlton Ath,https://www.transfermarkt.com/charlton-athletic/startseite/verein/358,Charlton Athletic,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,19,1 year,€30.45m,28,26.9,11,,6,The Valley,,,clubs2
Rubin Kazan,https://www.transfermarkt.com/rubin-kazan/startseite/verein/2698,Rubin Kazan,Premier Liga,RU1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,First Tier,Russia,7,3 years,€53.00m,33,27.2,13,,8,Ak Bars Arena,,,clubs2
Sion,https://www.transfermarkt.com/fc-sion/startseite/verein/321,FC Sion,Super League,C1,https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1,First Tier,Switzerland,4,2 years,€18.65m,27,25.5,10,,3,Tourbillon,,,clubs2
Udinese,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410,Udinese Calcio,Serie A,IT1,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1,First Tier,Italy,10,31 years,€152.55m,26,26.3,21,,9,Bluenergy Stadium,,+€47.65m,clubs2
Inter,https://www.transfermarkt.com/inter-mailand/startseite/verein/46,Inter Milan,Serie A,IT1,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1,First Tier,Italy,1,80 years,€636.30m,24,29.4,16,,15,Giuseppe Meazza,,,clubs2
Marseille,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244,Olympique Marseille,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,First Tier,France,6,30 years,€386.00m,23,27,22,,12,Orange Vélodrome,,+€20.35m,clubs2
Nancy,https://www.transfermarkt.com/as-nancy-lorraine/startseite/verein/1159,AS Nancy,Ligue 2,FR2,https://www.transfermarkt.com/ligue-2/startseite/wettbewerb/FR2,Second Tier,France,14,1 year,€12.70m,31,26.2,11,,3,Stade Marcel-Picot,,,clubs2
Bursaspor,https://www.transfermarkt.com/bursaspor/startseite/verein/20,Bursaspor,2.Lig Kirmizi,TR3B,https://www.transfermarkt.com/2-lig-kirmizi/startseite/wettbewerb/TR3B,Third Tier,Turkey,1,1 year,€5.60m,26,27.7,0,,0,Atatürk Spor Kompleksi Matlı Stadyumu,,,clubs2
EskiÅŸehirspor,https://www.transfermarkt.com/eskisehirspor/startseite/verein/825,Eskisehirspor,3.Lig Grup 4,TR4D,https://www.transfermarkt.com/3-lig-grup-4/startseite/wettbewerb/TR4D,Fourth Tier,Turkey,2,1 year,,35,23.9,2,,0,Prof. Dr. Fethi Heper Stadyumu,,,clubs2
Hull City,https://www.transfermarkt.com/hull-city/startseite/verein/3008,Hull City,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,6,5 years,€81.75m,29,26.7,14,,8,MKM Stadium,,+€6.63m,clubs2
Al-Shabab,https://www.transfermarkt.com/al-shabab-riad/startseite/verein/9840,Al,Saudi Pro League,SA1,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1,First Tier,Saudi Arabia,13,31 years,€44.53m,31,27.2,10,,5,SHG Arena,,,clubs2
Granada,https://www.transfermarkt.com/fc-granada/startseite/verein/16795,Granada CF,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,14,2 years,€22.80m,24,25.9,6,,1,Nuevo Los Cármenes,,+€11.85m,clubs2
Watford,https://www.transfermarkt.com/fc-watford/startseite/verein/1010,Watford FC,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,16,4 years,€79.85m,29,24.5,23,,11,Vicarage Road,,+€6.07m,clubs2
West Brom,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984,West Bromwich Albion,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,21,5 years,€63.03m,24,26,15,,9,The Hawthorns,,+€8.70m,clubs2
LeganÃ©s,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244,CD Leganés,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,17,1 year,€21.30m,25,27.6,5,,3,Ontime Butarque,,+€17.05m,clubs2
VitÃ³ria SetÃºbal,https://www.transfermarkt.com/vitoria-setubal-fc/startseite/verein/1085/sort/age,Vitória Setúbal FC,Liga 3,PT3A,https://www.transfermarkt.com/liga-3-serie-a/startseite/wettbewerb/PT3A,Third Tier,Portugal,,,,15,27.5,1,,0,Estádio do Bonfim,,,clubs2
Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041,Olympique Lyon,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,First Tier,France,4,37 years,€282.55m,29,25.5,23,,11,Groupama Stadium,,+€62.11m,clubs2
Olympiacos,https://www.transfermarkt.com/olympiakos-piraus/startseite/verein/683,Olympiacos Piraeus,Super League 1,GR1,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1,First Tier,Greece,2,67 years,€137.75m,29,26.7,19,,6,Stadio Georgios Karaiskakis,,+€10.38m,clubs2
Yeni Mal'spor,https://www.transfermarkt.com/yeni-malatyaspor/startseite/verein/19789,Yeni Malatyaspor,2.Lig Kirmizi,TR3B,https://www.transfermarkt.com/2-lig-kirmizi/startseite/wettbewerb/TR3B,Third Tier,Turkey,18,1 year,€65k,13,19.6,0,,0,Yeni Malatya Stadyumu,,,clubs2
Antalyaspor,https://www.transfermarkt.com/antalyaspor/startseite/verein/589,Antalyaspor,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,First Tier,Turkey,16,11 years,€22.40m,28,27.3,12,,3,Corendon Airlines Park Antalya Stadı,,+€800k,clubs2
Athletic Club,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621,Athletic Bilbao,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,10,87 years,€283.00m,28,27.2,3,,6,San Mamés,,,clubs2
Boca Juniors,https://www.transfermarkt.com/club-atletico-boca-juniors/startseite/verein/189,CA Boca Juniors,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,First Tier,Argentina,2,2 years,€90.85m,36,28.2,7,,2,Alberto J. Armando,,,clubs2
UniÃ£o de Leiria,https://www.transfermarkt.mx/ud-leiria/startseite/verein/2639,UD Leiria,Liga Portugal 2,PO2,https://www.transfermarkt.com/liga-portugal-2/startseite/wettbewerb/PO2,Second Tier,Portugal,,,,,,,,,,,,clubs2
Sporting CP,https://www.transfermarkt.com/sporting-lissabon/startseite/verein/336,Sporting CP,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Portugal,2,37 years,€466.00m,25,25.4,13,,13,Estádio José Alvalade,,+€43.50m,clubs2
VitÃ³ria,https://www.transfermarkt.mx/esporte-clube-vitoria/startseite/verein/2125,Esporte Clube Vitória,Campeonato Brasileiro Série A,BRA1,https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,First Tier,Brazil,,,,,,,,,,,,clubs2
BalÄ±kesirspor,https://www.transfermarkt.com/balikesirspor/startseite/verein/20698,Balikesirspor,3.Lig Grup 4,TR4D,https://www.transfermarkt.com/3-lig-grup-4/startseite/wettbewerb/TR4D,Fourth Tier,Turkey,5,1 year,,33,22.7,1,,0,Balıkesir Atatürk,,,clubs2
Metz,https://www.transfermarkt.com/fc-metz/startseite/verein/347,FC Metz,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,First Tier,France,18,1 year,€62.90m,27,25.8,19,,7,Stade Saint-Symphorien,,+€29.85m,clubs2
Arouca,https://www.transfermarkt.com/fc-arouca/startseite/verein/8024,FC Arouca,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Portugal,10,5 years,€26.15m,27,25.1,22,,1,Estádio Municipal de Arouca,,+€1.83m,clubs2
CS U Craiova,https://www.transfermarkt.com/universitatea-craiova/startseite/verein/40812,Universitatea Craiova,SuperLiga,RO1,https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1,First Tier,Romania,1,12 years,€30.00m,32,25.7,11,,8,Ion Oblemenco (2017),,,clubs2
B-SAD,https://www.transfermarkt.com/vereinslos/startseite/verein/515,Free agents,,,,,,,,€5.00m,,,,,,,,,clubs2
Grasshopper,https://www.transfermarkt.com/grasshopper-club-zurich/startseite/verein/504,Grasshopper Club Zurich,Super League,C1,https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1,First Tier,Switzerland,5,5 years,€22.35m,31,24.4,20,,2,Stadion Letzigrund,,+€480k,clubs2
Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276,Hellas Verona,Serie A,IT1,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1,First Tier,Italy,19,7 years,€93.48m,30,26,26,,9,Marcantonio Bentegodi,,+€7.30m,clubs2
Spezia,https://www.transfermarkt.com/spezia-calcio/startseite/verein/3522,Spezia Calcio,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,20,3 years,€35.40m,28,26.7,11,,1,Alberto Picco,,+€5.63m,clubs2
Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533,SD Eibar,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,7,5 years,€15.15m,24,28.4,1,,0,Ipurua,,+€800k,clubs2
Levante,https://www.transfermarkt.com/ud-levante/startseite/verein/3368,Levante UD,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,19,1 year,€86.70m,27,26,8,,3,Ciutat de València,,+€300k,clubs2
Girona,https://www.transfermarkt.com/fc-girona/startseite/verein/12321,Girona FC,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,16,4 years,€153.20m,27,28.7,14,,6,Montilivi,,+€29.15m,clubs2
Cartagena,https://www.transfermarkt.com/fc-cartagena/startseite/verein/7077,FC Cartagena,Primera Federación - Grupo II,E3G2,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,Third Tier,Spain,6,1 year,€5.00m,25,27.4,6,,0,Cartagonova,,,clubs2
Volos NFC,https://www.transfermarkt.com/volos-nps/startseite/verein/60949,Volos NFC,Super League 1,GR1,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1,First Tier,Greece,7,7 years,€9.83m,29,26.3,13,,4,Panthessaliko Stadio,,+€349k,clubs2
Dinamo,https://www.transfermarkt.com/dinamo-moskau/startseite/verein/121,Dynamo Moscow,Premier Liga,RU1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,First Tier,Russia,8,9 years,€111.10m,30,25.8,13,,14,VTB-Arena,,,clubs2
Roda JC,https://www.transfermarkt.com/roda-jc-kerkrade/startseite/verein/192,Roda JC Kerkrade,Keuken Kampioen Divisie,NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Second Tier,Netherlands,8,8 years,€7.68m,29,25.2,18,,2,Parkstad Limburg Stadion,,,clubs2
PSV Eindhoven,https://www.transfermarkt.com/psv-eindhoven/startseite/verein/383,PSV Eindhoven,Eredivisie,NL1,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,First Tier,Netherlands,1,70 years,€283.60m,25,25.4,16,,12,Philips Stadion,,+€14.20m,clubs2
