player_name,transfermarkt_id,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,explanation
Sergei Kornilenko,15881,https://www.transfermarkt.com/sergey-kornilenko/profil/spieler/15881,12/6/2000,16 years 11 months 29 days,16,Vysheyshaya Liga,6/7/2014,31 years 22 days,31,1.Division,16,players corrected
Sotirios Kyrgiakos,9706,https://www.transfermarkt.com/sotiris-kyrgiakos/profil/spieler/9706,30/09/2001,22 years 02 months 07 days,22,Stoiximan Super League,19/09/1999,20 years 01 month 27 days,20,Football League,20,players corrected
Adrián López,44966,https://www.transfermarkt.com/adrian-lopez/profil/spieler/44966,30/09/2007,20 years 07 months 05 days,20,LaLiga,20/08/2017,30 years 05 months 26 days,30,1.Division,20,players corrected
Andy O'Brien,3228,https://www.transfermarkt.com/andrew-obrien/profil/spieler/3228,7/8/1999,20 years 01 month 09 days,20,Premier League,16/10/1996,17 years 03 months 17 days,17,,17,players corrected
Frédéric Piquionne,5683,https://www.transfermarkt.com/frederic-piquionne/profil/spieler/5683,28/07/2001,22 years 07 months 20 days,22,Ligue 1,21/12/2000,22 years 13 days,22,Ligue 2,22,players corrected
Rafael,61892,https://www.transfermarkt.com/rafael/profil/spieler/61892,17/08/2008,18 years 01 month 08 days,18,Premier League,26/09/2021,31 years 02 months 17 days,31,Campeonato Brasileiro Série B,18,players corrected
Abdul Razak,177321,https://www.transfermarkt.com/abdul-razak/profil/spieler/177321,5/2/2011,18 years 02 months 25 days,18,Premier League,29/10/2011,18 years 11 months 18 days,18,Championship,18,players corrected
Jack Robinson,128909,https://www.transfermarkt.com/jack-robinson/profil/spieler/128909,9/5/2010,16 years 08 months 07 days,16,Premier League,19/02/2013,19 years 05 months 18 days,19,Championship,16,players corrected
Rodrigo,131505,https://www.transfermarkt.com/rodrigo/profil/spieler/131505,23/08/2014,23 years 05 months 17 days,23,LaLiga,No second tier career,No second tier career,No second tier career,No second tier career,23,players corrected
Sandro,74590,https://www.transfermarkt.com/sandro/profil/spieler/74590,4/10/2008,19 years 06 months 19 days,19,Campeonato Brasileiro Série A,3/10/2015,26 years 06 months 18 days,26,Championship,19,players corrected
Paulo da Silva,38800,https://www.transfermarkt.com/paulo-da-silva/profil/spieler/38800,27/02/2000,20 years 26 days,20,Torneo Final,20/09/2000,20 years 07 months 19 days,20,Serie B,20,players corrected
Alan Smith,3768,https://www.transfermarkt.com/alan-smith/profil/spieler/3768,14/11/1998,18 years 17 days,18,Premier League,8/8/2009,28 years 09 months 11 days,28,Championship,18,players corrected
Alexandre Song,27394,https://www.transfermarkt.com/alex-song/profil/spieler/27394,7/8/2004,16 years 10 months 29 days,16,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,16,players corrected
Matt Upson,3273,https://www.transfermarkt.com/matthew-upson/profil/spieler/3273,17/01/1998,18 years 08 months 30 days,18,Premier League,9/12/2000,21 years 07 months 21 days,21,,18,players corrected
Xisco,34564,https://www.transfermarkt.com/xisco/profil/spieler/34564,16/04/2005,18 years 09 months 21 days,18,LaLiga,2/9/2006,20 years 02 months 07 days,20,Segunda División,18,players corrected
Yuri Zhirkov,16760,https://www.transfermarkt.com/yuriy-zhirkov/profil/spieler/16760,12/3/2004,20 years 06 months 21 days,20,Premier Liga,No second tier career,No second tier career,No second tier career,No second tier career,20,players corrected
Patrick Agyemang,13982,https://www.transfermarkt.com/patrick-agyemang/profil/spieler/13982,20/08/2011,30 years 10 months 22 days,30,Premier League,12/8/2000,19 years 10 months 14 days,19,,19,players corrected
Bruno Andrade,169633,https://www.transfermarkt.com/bruno-andrade/profil/spieler/169633,27/08/2011,17 years 10 months 25 days,17,Premier League,20/11/2010,17 years 01 month 18 days,17,Championship,17,players corrected
Park Chu-young,30982,https://www.transfermarkt.com/chu-young-park/profil/spieler/30982,15/05/2005,19 years 10 months 05 days,19,"K League - First Stage ('84,'86,'95,'96,'04-'06)",2/2/2014,28 years 06 months 23 days,28,Championship,19,players corrected
Ji Dong-won,164265,https://www.transfermarkt.com/dong-won-ji/profil/spieler/164265,27/02/2010,18 years 08 months 30 days,18,K League 1,28/01/2018,26 years 08 months 00 days,26,2.Bundesliga,18,players corrected
Doni,20392,https://www.transfermarkt.com/doni/profil/spieler/20392,2/9/2001,21 years 10 months 11 days,21,Campeonato Brasileiro Série A,No second tier career,No second tier career,No second tier career,No second tier career,21,players corrected
Robert Hulse,9980,https://www.transfermarkt.com/rob-hulse/profil/spieler/9980,14/11/2004,25 years 20 days,25,Premier League,4/3/2000,20 years 04 months 08 days,20,,20,players corrected
Eggert Jónsson,45298,https://www.transfermarkt.com/eggert-gunnthor-jonsson/profil/spieler/45298,10/2/2007,18 years 05 months 23 days,18,Scottish Premiership,25/08/2012,24 years 07 days,24,Championship,18,players corrected
Chris Martin,46154,https://www.transfermarkt.com/chris-martin/profil/spieler/46154,21/08/2011,22 years 09 months 17 days,22,Premier League,30/01/2007,18 years 02 months 26 days,18,Championship,18,players corrected
Tommy Smith,12401,https://www.transfermarkt.com/tommy-smith/profil/spieler/12401,7/8/1999,19 years 02 months 16 days,19,Premier League,16/02/1999,18 years 08 months 25 days,18,,18,players corrected
Lee Camp,13443,https://www.transfermarkt.com/lee-camp/profil/spieler/13443,17/03/2013,28 years 06 months 23 days,28,Premier League,26/04/2003,18 years 08 months 04 days,18,First Division (until 03/04),18,players corrected
Javier Garrido,23218,https://www.transfermarkt.com/javier-garrido/profil/spieler/23218,18/01/2003,17 years 10 months 03 days,17,LaLiga,10/8/2014,29 years 04 months 26 days,29,Championship,17,players corrected
Giorgos Karagounis,6106,https://www.transfermarkt.com/georgios-karagounis/profil/spieler/6106,8/9/1996,19 years 06 months 02 days,19,Stoiximan Super League,No second tier career,No second tier career,No second tier career,No second tier career,19,players corrected
Adam Mitchell,196316,https://www.transfermarkt.com/adam-mitchell/profil/spieler/196316,Not found,Not found,Not,Not found,No second tier career,No second tier career,No second tier career,No second tier career,No second tier career,players corrected
Maicon Sisenando,18301,https://www.transfermarkt.com/maicon/profil/spieler/18301,26/08/2001,20 years 01 month 00 days,20,Campeonato Brasileiro Série A,27/04/2019,37 years 09 months 01 day,37,Campeonato Brasileiro Série B,20,players corrected
Alex Smith,116655,https://www.transfermarkt.com/alex-smith/profil/spieler/116655,15/09/2012,20 years 10 months 15 days,20,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,20,players corrected
Ki Sung-yueng,81796,https://www.transfermarkt.com/sung-yueng-ki/profil/spieler/81796,4/3/2007,18 years 01 month 08 days,18,K League 1,No second tier career,No second tier career,No second tier career,No second tier career,18,players corrected
Adrián,71271,https://www.transfermarkt.com/adrian/profil/spieler/71271,29/09/2012,25 years 08 months 26 days,25,LaLiga,No second tier career,No second tier career,No second tier career,No second tier career,25,players corrected
Luis Alberto,128220,https://www.transfermarkt.com/luis-alberto/profil/spieler/128220,16/04/2011,18 years 06 months 19 days,18,LaLiga,2/9/2012,19 years 11 months 05 days,19,Segunda División,18,players corrected
Sone Aluko,42198,https://www.transfermarkt.com/sone-aluko/profil/spieler/42198,28/10/2007,18 years 08 months 09 days,18,Scottish Premiership,9/8/2008,19 years 05 months 21 days,19,Championship,18,players corrected
Kim Bo-kyung,128375,https://www.transfermarkt.com/bo-kyung-kim/profil/spieler/128375,5/3/2011,21 years 04 months 27 days,21,J1 League,7/3/2010,20 years 05 months 01 day,20,J2 League,20,players corrected
Cabral,33046,https://www.transfermarkt.com/cabral/profil/spieler/33046,5/8/2007,18 years 09 months 14 days,18,Raiffeisen Super League,16/07/2005,16 years 08 months 24 days,16,Brack.ch Challenge League,16,players corrected
Cala,67089,https://www.transfermarkt.com/juan-cala/profil/spieler/67089,7/2/2010,20 years 02 months 12 days,20,LaLiga,29/03/2008,18 years 04 months 03 days,18,Segunda División,18,players corrected
José Cañas,69609,https://www.transfermarkt.com/jose-alberto-canas/profil/spieler/69609,3/5/2009,21 years 11 months 06 days,21,LaLiga,11/9/2010,23 years 03 months 15 days,23,Segunda División,21,players corrected
Mohamed Gedo,104941,https://www.transfermarkt.com/gedo/profil/spieler/104941,12/8/2005,20 years 09 months 13 days,20,Egyptian Premier League,9/2/2013,28 years 03 months 10 days,28,Championship,20,players corrected
Mats Møller Dæhli,190831,https://www.transfermarkt.com/mats-moller-daehli/profil/spieler/190831,3/8/2013,18 years 05 months 01 day,18,Eliteserien,8/8/2014,19 years 05 months 06 days,19,Championship,18,players corrected
Liam O'Neil,141349,https://www.transfermarkt.com/liam-oneil/profil/spieler/141349,15/04/2012,18 years 08 months 15 days,18,Veikkausliiga,No second tier career,No second tier career,No second tier career,No second tier career,18,players corrected
Willian,52769,https://www.transfermarkt.com/willian/profil/spieler/52769,1/11/2006,18 years 02 months 23 days,18,Campeonato Brasileiro Série A,No second tier career,No second tier career,No second tier career,No second tier career,18,players corrected
James Wilson,214104,https://www.transfermarkt.com/james-wilson/profil/spieler/214104,6/5/2014,18 years 05 months 05 days,18,Premier League,28/11/2015,19 years 11 months 28 days,19,Championship,18,players corrected
Michael Duff,36894,https://www.transfermarkt.com/michael-duff/profil/spieler/36894,20/12/2009,31 years 11 months 09 days,31,Premier League,7/8/2004,26 years 06 months 27 days,26,Championship,26,players corrected
Fernando,51174,https://www.transfermarkt.com/fernando/profil/spieler/51174,26/08/2007,20 years 01 month 01 day,20,Liga Portugal,No second tier career,No second tier career,No second tier career,No second tier career,20,players corrected
Nenê,29091,https://www.transfermarkt.com/nene/profil/spieler/29091,11/8/2002,21 years 23 days,21,Campeonato Brasileiro Série A,5/9/2004,23 years 01 month 17 days,23,Segunda División,21,players corrected
José Pozo,195605,https://www.transfermarkt.com/jose-pozo/profil/spieler/195605,3/12/2014,18 years 08 months 18 days,18,Premier League,6/9/2015,19 years 05 months 22 days,19,Segunda División,18,players corrected
Carlos Sánchez,51226,https://www.transfermarkt.com/carlos-sanchez/profil/spieler/51226,9/6/2006,20 years 04 months 03 days,20,Primera División Apertura,6/3/2021,35 years 01 month 00 days,35,,20,players corrected
Yun Suk-young,126643,https://www.transfermarkt.com/seok-yeong-yun/profil/spieler/126643,7/3/2009,19 years 22 days,19,K League 1,10/8/2013,23 years 05 months 28 days,23,Championship,19,players corrected
Filip Đuričić,94307,https://www.transfermarkt.com/filip-djuricic/profil/spieler/94307,20/02/2010,18 years 21 days,18,VriendenLoterij Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,18,players corrected
Éder,84481,https://www.transfermarkt.com/eder/profil/spieler/84481,24/08/2008,20 years 08 months 02 days,20,Liga Portugal,No second tier career,No second tier career,No second tier career,No second tier career,20,players corrected
Son Heung-min,91845,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845,30/10/2010,18 years 03 months 22 days,18,1.Bundesliga,No second tier career,No second tier career,No second tier career,No second tier career,18,players corrected
Jordan Pickford,130164,https://www.transfermarkt.com/jordan-pickford/profil/spieler/130164,16/01/2016,21 years 10 months 09 days,21,Premier League,9/8/2015,21 years 05 months 02 days,21,Championship,21,players corrected
Charlie Adam,28990,https://www.transfermarkt.com/charlie-adam/profil/spieler/28990,28/12/2003,18 years 18 days,18,Scottish Premiership,17/09/2005,19,19,Scottish Championship,18,first scrap players
Emmanuel Adebayor,8883,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883,17/11/2001,17 years 08 months 22 days,17,Ligue 1,3/8/2002,18,18,Ligue 2,17,first scrap players
Gabriel Agbonlahor,37148,https://www.transfermarkt.com/gabriel-agbonlahor/profil/spieler/37148,18/03/2006,19 years 05 months 05 days,19,Premier League,28/09/2005,18,18,Championship,18,first scrap players
Daniel Agger,22832,https://www.transfermarkt.com/daniel-agger/profil/spieler/22832,25/07/2004,19 years 07 months 13 days,19,Superligaen,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Yakubu Aiyegbeni,8559,https://www.transfermarkt.com/yakubu-aiyegbeni/profil/spieler/8559,19/11/1999,16 years 11 months 28 days,16,,18/01/2003,20,20,First Division (until 03/04),16,first scrap players
Marc Albrighton,61560,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560,15/08/2009,19 years 08 months 28 days,19,Premier League,30/10/2013,23,23,Championship,19,first scrap players
Antolín Alcaraz,14259,https://www.transfermarkt.com/antoln-alcaraz/profil/spieler/14259,26/01/2003,20 years 05 months 27 days,20,Liga Portugal,21/08/2005,23,23,Ledman Liga Pro,20,first scrap players
Manuel Almunia,16621,https://www.transfermarkt.com/manuel-almunia/profil/spieler/16621,17/11/2002,25 years 05 months 29 days,25,LaLiga,26/08/2001,24,24,Segunda División,24,first scrap players
Marcos Alonso,112515,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,4/4/2010,19 years 03 months 07 days,19,LaLiga,15/09/2012,21,21,Championship,19,first scrap players
Sammy Ameobi,92381,https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381,15/05/2011,19 years 14 days,19,Premier League,2/3/2013,20,20,Championship,19,first scrap players
Shola Ameobi,3276,https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276,9/9/2000,18 years 10 months 28 days,18,Premier League,29/03/2008,26,26,Championship,18,first scrap players
Keith Andrews,8035,https://www.transfermarkt.com/keith-andrews/profil/spieler/8035,29/11/2003,23 years 02 months 16 days,23,Premier League,18/03/2000,19,19,,19,first scrap players
Nicolas Anelka,3226,https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226,7/2/1996,16 years 10 months 24 days,16,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,16,first scrap players
Marcos Angeleri,27448,https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448,15/02/2003,19 years 10 months 08 days,19,Torneo Final,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Victor Anichebe,39532,https://www.transfermarkt.com/victor-anichebe/profil/spieler/39532,22/04/2006,17 years 11 months 30 days,17,Premier League,9/7/2017,29,29,China League One,17,first scrap players
Andrey Arshavin,15378,https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378,13/08/2000,19 years 02 months 15 days,19,Premier Liga,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Mikel Arteta,7451,https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451,17/02/2001,18 years 10 months 22 days,18,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Benoît Assou-Ekotto,18310,https://www.transfermarkt.com/benot-assou-ekotto/profil/spieler/18310,28/03/2004,20 years 04 days,20,Ligue 1,18/09/2013,29,29,Championship,20,first scrap players
Fábio Aurélio,7570,https://www.transfermarkt.com/fbio-aurlio/profil/spieler/7570,5/7/1997,17 years 09 months 11 days,17,Campeonato Brasileiro Série A,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Demba Ba,40205,https://www.transfermarkt.com/demba-ba/profil/spieler/40205,29/07/2006,21 years 02 months 04 days,21,Jupiler Pro League,3/9/2007,22,22,2.Bundesliga,21,first scrap players
Ryan Babel,16135,https://www.transfermarkt.com/ryan-babel/profil/spieler/16135,1/2/2004,17 years 01 month 13 days,17,Eredivisie,13/08/2022,35,35,,17,first scrap players
Leighton Baines,13507,https://www.transfermarkt.com/leighton-baines/profil/spieler/13507,14/08/2005,20 years 08 months 03 days,20,Premier League,1/11/2003,18,18,First Division (until 03/04),18,first scrap players
Chris Baird,4115,https://www.transfermarkt.com/chris-baird/profil/spieler/4115,22/03/2003,21 years 25 days,21,Premier League,27/09/2003,21,21,First Division (until 03/04),21,first scrap players
Nathan Baker,62638,https://www.transfermarkt.com/nathan-baker/profil/spieler/62638,25/01/2011,19 years 09 months 02 days,19,Premier League,26/11/2011,20,20,Championship,19,first scrap players
Gareth Bale,39381,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381,26/08/2007,18 years 01 month 10 days,18,Premier League,17/04/2006,16,16,Championship,16,first scrap players
Mario Balotelli,45146,https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146,16/12/2007,17 years 04 months 04 days,17,Serie A,30/12/2020,30,30,Serie B,17,first scrap players
Barry Bannan,61561,https://www.transfermarkt.com/barry-bannan/profil/spieler/61561,14/08/2010,20 years 08 months 14 days,20,Premier League,14/03/2009,19,19,Championship,19,first scrap players
Alex Baptiste,16660,https://www.transfermarkt.com/alex-baptiste/profil/spieler/16660,14/08/2010,24 years 06 months 14 days,24,Premier League,22/11/2008,22,22,Championship,22,first scrap players
Phil Bardsley,15773,https://www.transfermarkt.com/phil-bardsley/profil/spieler/15773,31/01/2004,18 years 07 months 03 days,18,Jupiler Pro League,18/03/2006,20,20,Championship,18,first scrap players
Giles Barnes,37236,https://www.transfermarkt.com/giles-barnes/profil/spieler/37236,22/09/2007,19 years 01 month 17 days,19,Premier League,11/9/2005,17,17,Championship,17,first scrap players
Pablo Barrera,51079,https://www.transfermarkt.com/pablo-barrera/profil/spieler/51079,11/3/2007,19 years 08 months 18 days,19,Liga MX Clausura,4/2/2007,19,19,Liga de Expansión MX Clausura,19,first scrap players
Gareth Barry,3291,https://www.transfermarkt.com/gareth-barry/profil/spieler/3291,2/5/1998,17 years 02 months 09 days,17,Premier League,18/08/2018,37,37,Championship,17,first scrap players
Joey Barton,3292,https://www.transfermarkt.com/joey-barton/profil/spieler/3292,5/4/2003,20 years 07 months 03 days,20,Premier League,8/8/2009,26,26,Championship,20,first scrap players
Chris Basham,52495,https://www.transfermarkt.com/chris-basham/profil/spieler/52495,29/11/2008,20 years 04 months 09 days,20,Premier League,5/8/2011,23,23,Championship,20,first scrap players
Sébastien Bassong,33951,https://www.transfermarkt.com/sbastien-bassong/profil/spieler/33951,20/08/2005,19 years 01 month 11 days,19,Ligue 1,29/07/2006,20,20,Ligue 2,19,first scrap players
Jose Baxter,82734,https://www.transfermarkt.com/jose-baxter/profil/spieler/82734,16/08/2008,16 years 06 months 09 days,16,Premier League,8/3/2020,28,28,USL Championship,16,first scrap players
James Beattie,3112,https://www.transfermarkt.com/james-beattie/profil/spieler/3112,12/10/1996,18 years 07 months 15 days,18,Premier League,11/8/2007,29,29,Championship,18,first scrap players
Jean Beausejour,18871,https://www.transfermarkt.com/jean-beausejour/profil/spieler/18871,18/02/2002,17 years 08 months 17 days,17,,6/8/2011,27,27,Championship,17,first scrap players
Jermaine Beckford,38874,https://www.transfermarkt.com/jermaine-beckford/profil/spieler/38874,14/08/2010,26 years 08 months 05 days,26,Premier League,21/03/2006,22,22,Championship,22,first scrap players
Roman Bednář,26898,https://www.transfermarkt.com/roman-bedn/profil/spieler/26898,9/8/2004,21 years 04 months 14 days,21,Fortuna Liga,3/11/2007,24,24,Championship,21,first scrap players
Asmir Begović,33873,https://www.transfermarkt.com/asmir-begovi/profil/spieler/33873,21/09/2005,18 years 03 months 01 day,18,Jupiler Pro League,17/10/2009,22,22,Championship,18,first scrap players
Valon Behrami,21905,https://www.transfermarkt.com/valon-behrami/profil/spieler/21905,28/08/2005,20 years 04 months 09 days,20,Serie A,14/09/2003,18,18,Serie B,18,first scrap players
Hatem Ben Arfa,18900,https://www.transfermarkt.com/hatem-ben-arfa/profil/spieler/18900,6/8/2004,17 years 04 months 30 days,17,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Tal Ben Haim,20714,https://www.transfermarkt.com/tal-ben-haim/profil/spieler/20714,30/04/2001,19 years 30 days,19,Ligat ha'Al,6/8/2011,29,29,Championship,19,first scrap players
Yossi Benayoun,7858,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858,2/8/1997,17 years 02 months 28 days,17,,21/12/2013,33,33,Championship,17,first scrap players
Nicklas Bendtner,34557,https://www.transfermarkt.com/nicklas-bendtner/profil/spieler/34557,12/8/2007,19 years 06 months 27 days,19,Premier League,5/8/2006,18,18,Championship,18,first scrap players
Benjani,12063,https://www.transfermarkt.com/benjani/profil/spieler/12063,4/8/2001,22 years 11 months 22 days,22,Raiffeisen Super League,16/08/2011,33,33,Championship,22,first scrap players
Darren Bent,13239,https://www.transfermarkt.com/darren-bent/profil/spieler/13239,18/11/2001,17 years 09 months 12 days,17,Premier League,10/8/2002,18,18,First Division (until 03/04),17,first scrap players
Marcus Bent,9958,https://www.transfermarkt.com/marcus-bent/profil/spieler/9958,10/1/1998,19 years 07 months 22 days,19,Premier League,16/08/1998,20,20,,19,first scrap players
David Bentley,3205,https://www.transfermarkt.com/david-bentley/profil/spieler/3205,4/5/2004,19 years 08 months 07 days,19,Premier League,10/9/2011,27,27,Championship,19,first scrap players
Dimitar Berbatov,65,https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65,4/8/2000,19 years 06 months 05 days,19,efbet Liga,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Christophe Berra,36602,https://www.transfermarkt.com/christophe-berra/profil/spieler/36602,30/11/2003,18 years 09 months 30 days,18,Scottish Premiership,7/2/2009,24,24,Championship,18,first scrap players
Ryan Bertrand,40611,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,20/04/2011,21 years 08 months 15 days,21,Premier League,12/1/2008,18,18,Championship,18,first scrap players
Leon Best,28244,https://www.transfermarkt.com/leon-best/profil/spieler/28244,19/09/2004,18 years 00 days,18,Premier League,18/12/2004,18,18,Championship,18,first scrap players
Habib Beye,3923,https://www.transfermarkt.com/habib-beye/profil/spieler/3923,30/08/1998,20 years 10 months 11 days,20,Ligue 1,29/07/2001,23,23,Ligue 2,20,first scrap players
Diniyar Bilyaletdinov,16690,https://www.transfermarkt.com/diniyar-bilyaletdinov/profil/spieler/16690,28/03/2004,19 years 01 month 01 day,19,Premier Liga,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Mame Biram Diouf,62049,https://www.transfermarkt.com/mame-biram-diouf/profil/spieler/62049,30/03/2008,20 years 03 months 14 days,20,Eliteserien,9/4/2007,19,19,OBOS-ligaen,19,first scrap players
Robbie Blake,3490,https://www.transfermarkt.com/robbie-blake/profil/spieler/3490,25/08/1999,23 years 05 months 21 days,23,Premier League,29/03/1997,21,21,,21,first scrap players
Luís Boa Morte,3422,https://www.transfermarkt.com/lus-boa-morte/profil/spieler/3422,23/08/1997,20 years 19 days,20,Premier League,12/8/2000,23,23,,20,first scrap players
Jérôme Boateng,26485,https://www.transfermarkt.com/jrme-boateng/profil/spieler/26485,31/01/2007,18 years 04 months 28 days,18,1.Bundesliga,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Ruud Boffin,31336,https://www.transfermarkt.com/ruud-boffin/profil/spieler/31336,30/01/2010,22 years 02 months 25 days,22,VriendenLoterij Eredivisie,14/09/2007,19,19,Keuken Kampioen Divisie,19,first scrap players
Ádám Bogdán,55247,https://www.transfermarkt.com/dm-bogdn/profil/spieler/55247,17/04/2021,33 years 06 months 21 days,33,,18/08/2012,24,24,Championship,24,first scrap players
Mauro Boselli,40822,https://www.transfermarkt.com/mauro-boselli/profil/spieler/40822,29/05/2005,20 years 07 days,20,Torneo Final,4/9/2005,20,20,Segunda División,20,first scrap players
José Bosingwa,9813,https://www.transfermarkt.com/jos-bosingwa/profil/spieler/9813,7/9/2001,19 years 14 days,19,Liga Portugal,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Lee Bowyer,3877,https://www.transfermarkt.com/lee-bowyer/profil/spieler/3877,17/08/1996,19 years 07 months 14 days,19,Premier League,12/8/1995,18,18,,18,first scrap players
Dedryck Boyata,88262,https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262,11/1/2010,19 years 01 month 14 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Emmerson Boyce,19641,https://www.transfermarkt.com/emmerson-boyce/profil/spieler/19641,14/08/2004,24 years 10 months 21 days,24,Premier League,6/8/2005,25,25,Championship,24,first scrap players
Michael Bradley,30593,https://www.transfermarkt.com/michael-bradley/profil/spieler/30593,2/4/2005,17 years 08 months 02 days,17,Major League Soccer,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Titus Bramble,3130,https://www.transfermarkt.com/titus-bramble/profil/spieler/3130,19/08/2000,19 years 19 days,19,Premier League,20/12/1998,17,17,,17,first scrap players
Wayne Bridge,3682,https://www.transfermarkt.com/wayne-bridge/profil/spieler/3682,16/08/1998,18 years 11 days,18,Premier League,18/08/2012,32,32,Championship,18,first scrap players
Matthew Briggs,51318,https://www.transfermarkt.com/matthew-briggs/profil/spieler/51318,13/05/2007,16 years 02 months 07 days,16,Premier League,14/02/2012,20,20,Championship,16,first scrap players
Wes Brown,3405,https://www.transfermarkt.com/wes-brown/profil/spieler/3405,4/5/1998,18 years 06 months 21 days,18,Premier League,17/12/2016,37,37,Championship,18,first scrap players
Jeffrey Bruma,88721,https://www.transfermarkt.com/jeffrey-bruma/profil/spieler/88721,24/10/2009,17 years 11 months 11 days,17,Premier League,12/2/2011,19,19,Championship,17,first scrap players
Chris Brunt,36814,https://www.transfermarkt.com/chris-brunt/profil/spieler/36814,16/08/2008,23 years 08 months 02 days,23,Premier League,6/8/2005,20,20,Championship,20,first scrap players
Mark Bunn,49319,https://www.transfermarkt.com/mark-bunn/profil/spieler/49319,28/12/2010,26 years 01 month 12 days,26,Premier League,7/8/2009,24,24,Championship,24,first scrap players
Gary Cahill,27511,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511,1/4/2006,20 years 03 months 13 days,20,Premier League,13/11/2004,18,18,Championship,18,first scrap players
